celltype,condition,gene,bb_mu
Cardiomyocyte,F1_Aged,Epha7,0.450657894737026
Cardiomyocyte,F1_Aged,Eprs1,0.491248541295151
Cardiomyocyte,F1_Aged,Ercc6,0.622047244094481
Cardiomyocyte,F1_Aged,Ero1a,0.385057471362857
Cardiomyocyte,F1_Aged,Erp44,0.453125000052979
Cardiomyocyte,F1_Aged,Esrrb,0.46885813148791
Cardiomyocyte,F1_Aged,Etf1,0.441025641327894
Cardiomyocyte,F1_Aged,Extl3,0.613333333333135
Cardiomyocyte,F1_Aged,Ezh1,0.379746835443038
Cardiomyocyte,F1_Aged,Fam149b,0.443181818181818
Cardiomyocyte,F1_Aged,Fam193b,0.470588235362117
Cardiomyocyte,F1_Aged,Fam204a,0.482051282051997
Cardiomyocyte,F1_Aged,Fam228b,0.333333333333472
Cardiomyocyte,F1_Aged,Fam91a1,0.442622950821726
Cardiomyocyte,F1_Aged,Fancl,0.380952380952381
Cardiomyocyte,F1_Aged,Fbxl20,0.547748976793865
Cardiomyocyte,F1_Aged,Fbxo10,0.673913043278655
Cardiomyocyte,F1_Aged,Fbxo30,0.438095238095238
Cardiomyocyte,F1_Aged,Fbxo38,0.444444444461481
Cardiomyocyte,F1_Aged,Fbxo9,0.578947368391444
Cardiomyocyte,F1_Aged,Fgf2,0.666666666310631
Cardiomyocyte,F1_Aged,Fh1,0.679687499213322
Cardiomyocyte,F1_Aged,Fmo5,0.417582418365108
Cardiomyocyte,F1_Aged,Fosl2,0.587529976019184
Cardiomyocyte,F1_Aged,Foxo1,0.543103448268459
Cardiomyocyte,F1_Aged,Foxo3,0.551181102357947
Cardiomyocyte,F1_Aged,G0s2,0.59638554136154
Cardiomyocyte,F1_Aged,Gart,0.253731343283583
Cardiomyocyte,F1_Aged,Gbe1,0.526947637276627
Cardiomyocyte,F1_Aged,Gemin2,0.359375000000978
Cardiomyocyte,F1_Aged,Ggnbp1,0.468793342581403
Cardiomyocyte,F1_Aged,Ghr,0.533577751932812
Cardiomyocyte,F1_Aged,Gigyf2,0.545180722891568
Cardiomyocyte,F1_Aged,Gin1,0.571428571415408
