"","AR","N","log2FC","llr_mean","pval_mean"
"Ssh2",0.510761904761905,25,-0.208108195330201,-0.0868885054375639,0.676776644116397
"St3gal3",0.455128205128205,13,-0.115477217419937,1.21591163172128,1
"St3gal6",0.355555555555556,15,-0.79836613883035,-1.25065250694392,0.113752002987872
"Stag1",0.414,25,-0.158697746019058,-0.266152157365013,0.465639685665703
"Stard13",0.640567765567766,26,0.874469117916141,-3.35464646312653,0.00959117475149508
"Stat3",0.558495670995671,28,0.369233809665719,-0.448292356549288,0.343699128744264
"Stim1",0.430769230769231,13,-0.658963082164932,-0.791614497436239,0.208296195288549
"Stim2",0.606060606060606,11,0.68805599368526,-0.986723140494757,0.160082533347425
"Stk10",0.354166666666667,12,-0.061400544664143,-0.112502454989244,0.635252605903799
"Stk24",0.583333333333333,10,0.736965594166206,-0.643816892568424,0.256484472231548
"Stk39",0.512515262515262,26,0.238786859587116,-0.116946321572257,0.628652394140274
"Stox2",0.589080459770115,29,0.471305718925589,-0.326524652908461,0.419024578301247
"Strn3",0.535180623973727,29,0.349942471056959,-0.355812434215267,0.39890492215397
"Stxbp6",0.447835497835498,11,-0.192645077942396,-0.00660126541154327,0.908522588670243
"Suclg2",0.0365740740740741,36,-4.67948009950545,-115.642756237648,3.12605831580663e-52
"Sulf1",0.386750530171583,38,-0.764371751506858,-3.24161786659575,0.0108896568101047
"Susd6",0.666522366522367,21,0.903784684740697,-3.00372303581067,0.0142456314372331
"Svil",0.469406288156288,20,-0.472752997135132,-0.78729963812583,0.209540342486104
"Swt1",0.618055555555556,12,0.584962500721156,-0.0701180532977155,0.708046403148752
"Syne1",0.471296296296296,18,0.142019004872428,0.340833551131883,1
"Synpo",0.606060606060606,11,0.131244533278253,0.420334766182176,1
"Synpo2",0.475246483978541,22,0.111031312388743,-0.00692949450067459,0.906286185443955
"Tacc1",0.456862745098039,17,-0.302562770020432,-0.264164458003556,0.467310266353183
"Tacc2",0.589686147186147,22,0.784271308944563,-1.86533754918756,0.0534217978652594
"Tanc1",0.678947368421053,19,0.943416471633632,-2.62252111715837,0.0220093940796242
"Tango6",0.65,10,1.76553474636298,-3.9633927066966,0.00487082567613957
"Tasor",0.647058823529412,17,0.79836613883035,-1.1884493361094,0.123141798392525
"Tax1bp1",0.333333333333333,10,-0.866733469136535,-1.46823062953769,0.0866002670634906
"Tbc1d4",0.361735700197239,13,-0.426264754702098,-0.759237524928423,0.217850409590564
"Tbc1d5",0.466523530233208,31,-0.211504105193711,-0.381977938261798,0.382093369499146
"Tcf12",0.55066889632107,23,2.22044604925031e-16,-0.00163019502480921,0.954465675586068
"Tcf20",0.616666666666667,10,0.777607578663553,0.21511779961055,1
"Tcf25",0.423076923076923,13,-0.321928094887362,-0.289058499969542,0.447051344755447
"Tcf4",0.536516630943875,19,0.0874628412503397,0.124673173619463,1
"Tcf7l1",0.696969696969697,11,0.658963082164933,0.237006483658217,1
"Tcf7l2",0.453703703703704,18,-0.403355694231208,0.419660574303911,1
"Tdrd3",0.588888888888889,15,0.369233809665719,0.352115966180548,1
"Tead1",0.400426136363636,32,-0.534336427651188,-0.855655359189534,0.190815399774568
"Tecrl",0.414795918367347,14,-0.600392541290762,-1.1394425990539,0.131146110102931
"Tef",0.618981481481481,18,0.718229031584621,-1.68297046719454,0.0665575525519466
"Tet2",0.36969696969697,11,-0.432959407276106,-0.603910349309444,0.271764156828183
