gene,condition
Ciart,F1_Young
Clasp2,F1_Young
Clcn6,F1_Young
Clec16a,F1_Young
Clint1,F1_Young
Clk1,F1_Young
Cnot9,F1_Young
Col5a2,F1_Young
Col8a1,F1_Young
Cops4,F1_Young
Cpox,F1_Young
Cpped1,F1_Young
Creb3l2,F1_Young
Crem,F1_Young
Crhr2,F1_Young
Crlf3,F1_Young
Crot,F1_Young
Cryzl1,F1_Young
Csnk1a1,F1_Young
Ctsb,F1_Young
Ctsd,F1_Young
Cul1,F1_Young
Cycs,F1_Young
Cyp39a1,F1_Young
Cyp4f13,F1_Young
D330041H03Rik,F1_Young
D3Ertd751e,F1_Young
Daam1,F1_Young
Dab2ip,F1_Young
Dap3,F1_Young
Dcaf11,F1_Young
Dcbld2,F1_Young
Dcun1d1,F1_Young
Ddit3,F1_Young
Ddx55,F1_Young
Dek,F1_Young
Dele1,F1_Young
Dennd10,F1_Young
Dennd4c,F1_Young
Derl2,F1_Young
Dgat2,F1_Young
Dgkz,F1_Young
Dhdds,F1_Young
Dhx30,F1_Young
Dhx40,F1_Young
Dhx9,F1_Young
Dip2b,F1_Young
Dlg1,F1_Young
Dlg5,F1_Young
Dlx1as,F1_Young
Dnajb6,F1_Young
Dnmbp,F1_Young
Dnmt3a,F1_Young
Dpf2,F1_Young
Dph6,F1_Young
Dpy19l4,F1_Young
Dpysl3,F1_Young
Dyrk1a,F1_Young
E130311K13Rik,F1_Young
Ebf1,F1_Young
Ebf2,F1_Young
Ech1,F1_Young
Echdc1,F1_Young
Ecsit,F1_Young
Edn1,F1_Young
Edrf1,F1_Young
Efcab14,F1_Young
Egfl7,F1_Young
Egln3,F1_Young
Ehbp1,F1_Young
Eif2ak4,F1_Young
Eif3c,F1_Young
Eif4e,F1_Young
Elf2,F1_Young
Emc2,F1_Young
Eml5,F1_Young
Emp2,F1_Young
Emsy,F1_Young
Epas1,F1_Young
Epb41l4a,F1_Young
Epg5,F1_Young
Eps15l1,F1_Young
Ergic1,F1_Young
Etohd2,F1_Young
Etv6,F1_Young
Exoc1,F1_Young
Faf2,F1_Young
Fam53b,F1_Young
Fance,F1_Young
Far1,F1_Young
Fastkd2,F1_Young
Fbxo31,F1_Young
Fbxo32,F1_Young
Fbxo7,F1_Young
Fchsd2,F1_Young
Fech,F1_Young
Fez2,F1_Young
Fkbp15,F1_Young
Foxk1,F1_Young
Foxp1,F1_Young
Foxp2,F1_Young
Fubp1,F1_Young
Fxr1,F1_Young
