gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
Clpx,0.5277,0.00765642314451638,0.523,0.0236657752737455,above,above,consistent_above
Clstn1,0.3388,1.396520184029e-4,0.3366,7.49626579349333e-6,below,below,consistent_below
Cltb,0.4059,0.0596702952025955,0.3548,0.00297474652284354,below,below,consistent_below
Cluh,0.3645,2.21012211581568e-17,0.3476,1.87337863680511e-18,below,below,consistent_below
Clvs1,0.0274,3.00397271159607e-68,0.0336,3.4952961352351e-81,below,below,consistent_below
Cmc1,0.6147,1.1965018968744e-4,0.672,3.0061257320038e-7,above,above,consistent_above
Cmc2,0.4374,0.0441023951295941,0.4238,0.0172753464857699,below,below,consistent_below
Cmtm8,0.8106,8.563402606770679e-11,0.7628,3.9404220674393803e-10,above,above,consistent_above
Cmya5,0.5933,1.76061971002942e-40,0.5951,5.9914871288658e-39,above,above,consistent_above
Cnbp,0.5517,0.0436229534911699,0.5423,0.0738746692307087,above,above,consistent_above
Cnksr3,0.532,0.0026903082482751,0.5158,0.0758218969757999,above,above,consistent_above
Cnot2,0.5184,0.0538136696435721,0.5235,0.0576997060510039,above,above,consistent_above
Cnot6l,0.5307,0.0768080801605815,0.4751,0.0678022336249789,above,below,discordant
Cnst,0.471,0.0469001158365591,0.4638,0.0191453031209265,below,below,consistent_below
Cntn5,0.8068,5.1314857162633995e-21,0.9369,4.79021212816444e-26,above,above,consistent_above
Coa7,0.5671,0.0738829549183554,0.623,0.00221255563871022,above,above,consistent_above
Coa8,0.579,0.0135073298370426,0.5737,0.0613786116888119,above,above,consistent_above
Cobll1,0.6578,1.7658677850012598e-116,0.6882,4.13899487750456e-160,above,above,consistent_above
Cog5,0.5296,0.00100305999858115,0.5532,7.21550535195895e-8,above,above,consistent_above
Cog6,0.5797,0.0188405264947387,0.6161,4.49048751106481e-7,above,above,consistent_above
Cog8,0.4104,0.0555513621186172,0.4239,0.0895475082693731,below,below,consistent_below
Col4a1,0.6715,3.01650969856135e-21,0.6236,1.27401358607321e-8,above,above,consistent_above
Col4a2,0.6636,5.51797018956034e-32,0.6671,2.78474459008064e-24,above,above,consistent_above
Col5a1,0.2761,4.70124950693138e-6,0.2441,1.34341110608513e-7,below,below,consistent_below
Colec12,0.3265,7.85752139311367e-6,0.2884,5.3536563200967e-9,below,below,consistent_below
Colq,0.3194,3.60650374943998e-10,0.2891,3.44175485822369e-14,below,below,consistent_below
Commd1,0.6084,3.3245109369698e-4,0.5647,0.0334603468202213,above,above,consistent_above
Commd10,0.559,0.0238151737096455,0.6265,2.14107181998735e-7,above,above,consistent_above
Comt,0.5939,6.37084388795166e-11,0.6072,1.4259321349731e-13,above,above,consistent_above
Coq2,0.6009,3.50348872763047e-5,0.6392,9.58131231530642e-8,above,above,consistent_above
Coq5,0.6248,3.8689343022256696e-11,0.5598,0.00684049276729596,above,above,consistent_above
Corin,0.5705,2.19896755404392e-50,0.5915,1.30751889396082e-70,above,above,consistent_above
Coro6,0.5805,9.626475912521599e-26,0.568,1.01218610365582e-14,above,above,consistent_above
Cox19,0.6255,7.13481505688002e-6,0.6051,0.00889634963613837,above,above,consistent_above
Cox6a1,0.4611,0.0596448767562385,0.4684,0.0568356294155405,below,below,consistent_below
Cox6b1,0.4618,0.0456580243868116,0.4137,5.62643994619658e-5,below,below,consistent_below
Cox6c,0.5569,0.0833286853670082,0.5739,1.01775237741364e-5,above,above,consistent_above
Cox7a2,0.4043,6.92901147637329e-5,0.422,4.8706118036171e-4,below,below,consistent_below
Cox7c,0.5605,1.05150047746914e-6,0.5547,4.95199761165658e-5,above,above,consistent_above
Cp,0.6458,4.23435901360832e-47,0.67490000000000006,1.98254380946351e-40,above,above,consistent_above
Cpe,0.5433,0.0865021941762524,0.5629,0.0140523929196326,above,above,consistent_above
Cpeb3,0.5578,1.96391209408315e-32,0.566,1.38528875378263e-44,above,above,consistent_above
Cped1,0.3818,1.84937230324977e-72,0.3884,1.3055628100942199e-49,below,below,consistent_below
Cpq,0.5563,2.82102896518417e-12,0.5813,6.81618886095637e-17,above,above,consistent_above
Cpt1a,0.4164,0.00935703958863222,0.3529,4.70089772124333e-7,below,below,consistent_below
Cradd,0.262,3.0834151594220397e-218,0.2443,6.8000157177426686e-220,below,below,consistent_below
Cramp1,0.546,0.0694621023096732,0.5535,0.0463951927708662,above,above,consistent_above
Creb5,0.5489,0.0164328741796043,0.5595,0.00589965852066392,above,above,consistent_above
Crebzf,0.4185,3.54776184699501e-6,0.455,0.0221535309054136,below,below,consistent_below
Crls1,0.5973,0.0155982350169497,0.6244,0.0027229445623106,above,above,consistent_above
Crtc3,0.5518,7.3908175075961e-4,0.5393,0.0167432869365325,above,above,consistent_above
Cryab,0.5858,1.58899157250515e-6,0.5837,1.59437627434879e-6,above,above,consistent_above
Crybg3,0.4374,0.00212378839844463,0.404,2.08776755646081e-9,below,below,consistent_below
Cspp1,0.426,0.00180516953093492,0.4204,8.4635697719056e-5,below,below,consistent_below
Cst3,0.6427,8.87890111980394e-6,0.6786,4.20211203601227e-7,above,above,consistent_above
Ctdspl,0.2653,1.33564643362145e-5,0.2333,7.82868049084975e-9,below,below,consistent_below
Ctnna1,0.5484,8.42575376765394e-5,0.5681,4.48282328304094e-6,above,above,consistent_above
Ctnnal1,0.6824,1.6040600234533698e-55,0.6792,3.89019004973447e-32,above,above,consistent_above
Ctnnd1,0.5352,0.0229077503135114,0.5468,0.0145308954003688,above,above,consistent_above
Ctsl,0.5816,0.087167642349554,0.621,0.0964520649317809,above,above,consistent_above
Cubn,0.9204,1.3453535943967499e-18,0.8568,9.00460892408432e-13,above,above,consistent_above
Cuedc1,0.7376,4.4173812034870495e-54,0.7414,9.447962805949337e-43,above,above,consistent_above
Cul5,0.3789,5.41463099538006e-17,0.373,3.29897357856022e-18,below,below,consistent_below
Cutc,0.5774,0.0455366551747891,0.5828,0.0574649137050171,above,above,consistent_above
Cux1,0.5387,6.62658327551724e-8,0.5216,0.00935975553075071,above,above,consistent_above
Cux2,0.4578,0.0181540780838509,0.4087,7.6251488359758e-7,below,below,consistent_below
Cwc27,0.4268,4.51886314140012e-7,0.4293,1.99715479942366e-6,below,below,consistent_below
Cwf19l2,0.4138,8.52337484161745e-8,0.4205,9.25107992323143e-7,below,below,consistent_below
Cxxc5,0.3852,0.0010397804260084,0.4121,0.0280489059137421,below,below,consistent_below
Cyb5a,0.1992,1.6118330574999398e-31,0.2256,5.12831519364209e-17,below,below,consistent_below
Cyb5r4,0.394,4.93505023911242e-5,0.4138,0.00138898920358838,below,below,consistent_below
Cyfip2,0.9778,2.4651580144961396e-151,0.9822,4.826725335053849e-133,above,above,consistent_above
Cyld,0.4337,9.20593934220211e-6,0.4531,0.00511302490755507,below,below,consistent_below
Cyp2d22,0.0512,3.54042054665553e-47,0.0402,2.20828087488543e-38,below,below,consistent_below
Cyrib,0.5517,4.9569672874762e-4,0.5541,0.00183442212113938,above,above,consistent_above
Cystm1,0.5519,0.00373965791843884,0.5549,0.0258753078022886,above,above,consistent_above
Cyth1,0.5355,0.0177508802102638,0.558,0.00264308789396604,above,above,consistent_above
Cyth3,0.5483,0.0336058802774397,0.5665,0.00233790497408222,above,above,consistent_above
D230022J07Rik,0.7465,5.16512985363896e-13,0.738,3.8671756238636495e-11,above,above,consistent_above
D330023K18Rik,0.6231,0.00351155279689655,0.6103,0.0170938919961825,above,above,consistent_above
D5Ertd579e,0.5661,4.6584669775583e-4,0.5823,4.73044246909878e-7,above,above,consistent_above
D630024D03Rik,0.7932,2.8772788040270203e-9,0.7419,1.30371504108347e-6,above,above,consistent_above
D630045J12Rik,0.2251,8.81571683961719e-8,0.2573,1.7834002827709e-4,below,below,consistent_below
D7Ertd443e,0.3417,1.01061370655405e-28,0.319,7.85863914532905e-27,below,below,consistent_below
D830005E20Rik,0.4159,1.8249965321326699e-96,0.4167,1.8056676865965398e-112,below,below,consistent_below
D830024N08Rik,0.5492,2.452159814216e-5,0.5297,0.00492020624387187,above,above,consistent_above
