"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"Ppard",TRUE,4,275.722904998962,185,1.49039408107547,0.429574621815974,0.388235294117653,0.456521739130435,1.19201645227774,998.999999999999,"sex",2,0.339627647234862,FALSE,-0.454736157114923,0.232998749422556,-1.95166780183113,0.0524873658347198,0.280382769970144,0.29376556912224,0.954443949329791,0.341104426383271
"Pparg",TRUE,4,287.070038342784,191,1.50298449394128,0.397727958937199,0.367187500000002,0.426086956521739,1.26209452609215,998.999999999999,"sex",2,0.377255868440488,FALSE,-0.544301552962371,0.19426202277458,-2.80189377825008,0.00560373094706481,0.246467109046573,0.278657525680366,0.884480361493209,0.377549002504199
"Ppargc1b",TRUE,3,161.060948989946,111,1.45099954044996,0.561488948865703,0.466666666667404,0.602272726155295,1.17457934435944,998.999999999999,"sex",2,0.152854187139755,FALSE,0.414943847397804,0.225085317606303,1.8434958433121,0.0679242661439323,-0.548475240019363,0.382127212072569,-1.43532107290805,0.154007489826339
"Ppfia2",TRUE,3,507.650864637534,328,1.54771605072419,0.461344632145508,0.452513966480678,0.474418604688243,1.73592423706526,2.91016061188559,"sex",2,0.632940215271367,FALSE,-0.102415005279359,0.145480205808799,-0.703978968891207,0.481945341320122,-0.0881033187178413,0.184274704917873,-0.478108586618586,0.632891414218416
"Ppfibp1",TRUE,4,110.837011403399,76,1.4583817289921,0.390542328042343,0.375000000000029,0.404761904761908,1.15537044652506,998.999999999999,"sex",2,0.782899928329627,FALSE,-0.385662480811973,0.328415433615212,-1.1743129017007,0.243936274716019,-0.125163142953893,0.452626379487074,-0.276526399313558,0.782894424193355
"Ppfibp2",TRUE,4,172.631471326392,113,1.52771213563179,0.595414635247373,0.53125,0.641025641025626,1.23289262393488,998.999999999999,"sex",2,0.217792971682006,FALSE,0.579818495252875,0.252151080180523,2.29948844493454,0.0233142871492553,-0.454655352298867,0.367673480776689,-1.23657368853047,0.218809367192046
"Ppig",TRUE,4,140.975642265788,96,1.46849627360196,0.41834342703908,0.36923076923077,0.478260869565217,1.13678057251579,998.999999999999,"sex",2,0.27457940702462,FALSE,-0.0870113769896295,0.308251284929925,-0.282274174491795,0.778340951732492,-0.44850685936673,0.408734511252706,-1.097306067922,0.2752523947872
"Ppm1a",TRUE,4,162.437620734799,112,1.45033589941785,0.44507575757576,0.378787878787884,0.5,1.12539606177734,998.999999999999,"sex",2,0.184022689973975,FALSE,-1.66177704149109e-16,0.26277841129682,-6.32387201555168e-16,1,-0.494696241836085,0.371443458848651,-1.33182111584217,0.185622988510988
"Ppm1d",TRUE,4,90.9646026657588,58,1.56835521837515,0.364264264264965,0.324324324325809,0.4,1.20302914598439,998.999999999999,"sex",2,0.545073548041005,FALSE,-0.405465108108164,0.378823548603648,-1.07032709450803,0.288906104741186,-0.328504066965259,0.54053723285278,-0.607736242758934,0.545734744767423
"Ppm1h",TRUE,4,119.126215526597,70,1.70180307895138,0.607853910795087,0.575,0.627450980392157,1.26302781573039,998.999999999999,"sex",2,0.653755900899336,FALSE,0.521296923633286,0.326317168842839,1.59751607763045,0.114655464120601,-0.219016051760352,0.486157588426052,-0.450504233554026,0.653739183748366
"Ppp1r12a",TRUE,3,634.590188186941,423,1.50021321084383,0.461305560423536,0.44402985074627,0.476683937824106,1.53889328473254,12.9320645116406,"sex",2,0.431980862604211,FALSE,-0.224822812833926,0.128781041061035,-1.74577570565976,0.0815759551642522,0.131490873042796,0.16727137445403,0.786093098547075,0.432253075263733
"Ppp1r12c",TRUE,4,154.659491509031,112,1.38088831704492,0.577880494368582,0.544303797468354,0.64583333333333,1.12055183895526,998.999999999999,"sex",2,0.267153717799916,FALSE,0.600773860428915,0.305686194505637,1.96532873000857,0.0518519209914816,-0.423092683191463,0.381839422546386,-1.10803824385122,0.270219149331543
