"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Gm12940",0.506756756756757,74,-55.1468260306654,-54.7406277795141,-0.406198251151238,0.367412671327274,0.967730651348646
"Gm15581",0.415032679738562,51,-41.5254162277119,-41.3815382438934,-0.143877983818506,0.591662160575301,0.968735563642237
"Gm20631",0.371980676328502,69,-52.0583258543246,-51.9085191726115,-0.149806681713116,0.584124908730196,0.968735563642237
"Gm20732",0.582051282051282,65,-49.0994518290149,-48.9928787794916,-0.106573049523348,0.644312620202168,0.985134317931512
"Gm37376",0.5503300330033,101,-81.2450704271722,-80.9695415393671,-0.275528887805052,0.457885809448943,0.967730651348646
"Gm56730",1,138,NA,NA,NA,NA,NA
"Gmds",0.488309061488673,206,-207.26758300477,-207.258965114346,-0.00861789042420469,0.895549768104758,1
"Gna13",0.416666666666667,50,-38.0333374518279,-38.0219477291246,-0.0113897227032425,0.880032031249312,1
"Gnaq",0.527807088744589,240,-244.079073611948,-244.05680519392,-0.0222684180286876,0.832857991647779,1
"Gnb1",0.479430379746835,158,-138.60553483909,-138.532076623618,-0.0734582154720442,0.701499717403978,0.989169081646257
"Gng12",0.445893719806763,69,-57.2793761775685,-57.0126461628815,-0.266730014686985,0.465155812781023,0.967730651348646
"Golga4",0.454761904761905,70,-52.4413833606958,-52.3288325814786,-0.112550779217258,0.635179979812524,0.978237786301302
"Golim4",0.482587064676617,67,-55.8378876983901,-53.2932277470878,-2.54465995130231,0.0240736307770328,0.405122574883502
"Golph3",0.431651376146789,109,-90.6747410108831,-90.28185823298,-0.392882777903097,0.375383607501478,0.967730651348646
"Gpatch2",0.433333333333333,80,-62.4686549353044,-62.1320884993729,-0.336566435931452,0.411961473046291,0.967730651348646
"Gpatch8",0.386996336996337,91,-71.9423997018249,-71.8308204285903,-0.111579273234568,0.636643731677616,0.978302977709885
"Gpbp1",0.627604166666667,64,-46.7473130523126,-46.4840265563975,-0.263286495915189,0.468051219046776,0.967730651348646
"Gpcpd1",0.480952380952381,70,-59.5158120002996,-55.840173332432,-3.67563866786757,0.00670151259559874,0.214995465311862
"Gphn",0.540883075258075,176,-169.153559238244,-168.867668970738,-0.285890267506403,0.449552245471227,0.967730651348646
"Gpm6a",0.410805860805861,91,-87.7110064946938,-81.7449458929593,-5.96606060173453,0.000551743194983913,0.0542087689071694
"Gpr107",0.563218390804598,58,-46.540394420826,-46.3463255845461,-0.194068836279911,0.533279947959544,0.967730651348646
"Grb10",0.105504587155963,109,-46.6924273226992,-44.2782059165629,-2.41422140613629,0.0279939038325399,0.419108731664312
"Greb1l",0.792018779342723,71,-42.5191241640364,-42.4799361031453,-0.039188060891064,0.779510221270063,0.997219680807108
"Grk5",0.500912996777658,133,-123.143040441293,-123.095770902891,-0.0472695384011814,0.758484075284659,0.994759090870903
"Gsk3b",0.375757575757576,55,-43.7203258588131,-43.3740632253288,-0.346262633484343,0.405306769713077,0.967730651348646
"Gtdc1",0.521666666666667,50,-39.8710581360753,-39.8454506543304,-0.0256074817449132,0.820962473568792,1
"Gucy1a1",0.337209302325581,43,-35.6021059956765,-34.4002803280558,-1.20182566762065,0.12105241001322,0.855284543587893
"Gucy1a2",0.456989247311828,31,-26.8269629029715,-26.7409908930299,-0.0859720099416705,0.678389843427315,0.989169081646257
"Gulp1",0.486532738095238,96,-89.7342151968701,-87.9911406176332,-1.74307457923697,0.0618843810111628,0.660704100608955
"Gxylt2",0.561111111111111,30,-27.3830266640982,-26.9265062758368,-0.456520388261353,0.339308896501215,0.967730651348646
"H3f3b",0.383647798742138,53,-40.5351221347687,-39.8932408679461,-0.641881266822622,0.257200626242702,0.967730651348646
"Hand2os1",0.465267175572519,131,-115.724833676756,-115.5897660352,-0.135067641556219,0.603241037690149,0.969150073612564
"Hbb-bs",0.467287234042553,47,-39.9496479829848,-39.409320015854,-0.540327967130871,0.298550865374464,0.967730651348646
"Hdac4",0.451612903225806,62,-48.7792941750771,-48.6412238357427,-0.138070339334405,0.599241982509832,0.968860509363938
"Hdac7",0.432471264367816,116,-88.9624823223432,-88.8926112574702,-0.0698710648730412,0.708537504871744,0.989169081646257
"Hdac9",0.723660714285714,64,-73.2075946332359,-73.2067611439251,-0.000833489310736013,0.967432499383565,1
"Hdgfl3",0.479166666666667,76,-62.7097756380048,-61.9893902357771,-0.720385402227734,0.230014648262552,0.967730651348646
"Heatr5a",0.494901960784314,85,-75.7570843288432,-74.7094124432069,-1.04767188563632,0.147748475630617,0.911735775480945
"Hectd1",0.444187044187044,111,-93.7279348562823,-93.7279648594019,3.00031195195061e-05,1,1
"Hecw1",0.458333333333333,12,-14.3564798849622,-14.2855364311923,-0.0709434537698694,0.706412330188774,0.989169081646257
"Hecw2",0.561781609195402,58,-53.7630980928804,-53.728129017181,-0.0349690756994221,0.791426852824936,0.998341770500055
"Heg1",0.503772697066392,337,-582.961140252852,-582.888209121096,-0.0729311317560359,0.702521309815114,0.989169081646257
"Helz",0.418859649122807,76,-59.3297854686283,-58.4955979683365,-0.834187500291783,0.196476331160835,0.967730651348646
"Herc1",0.45669099756691,137,-110.851124953062,-110.553492081452,-0.297632871610489,0.440390082019377,0.967730651348646
"Herc2",0.514797507788162,107,-87.4001589943596,-86.3452143633162,-1.05494463104334,0.146349907743486,0.911735775480945
"Herc4",0.466735253772291,81,-65.4411244107242,-65.4089673477343,-0.0321570629898389,0.799802820462364,0.998341770500055
"Herc6",0.365885416666667,64,-53.3154155825827,-52.5037563752869,-0.811659207295833,0.202629702163606,0.967730651348646
"Hibadh",0.507246376811594,46,-38.3710983684887,-38.1339149405633,-0.237183427925437,0.490985040563,0.967730651348646
"Hip1",0.533783783783784,111,-94.2592057682527,-94.0530448545741,-0.206160913678588,0.520793383835771,0.967730651348646
"Hipk1",0.404040404040404,66,-52.1944036167976,-52.0217934709892,-0.17261014580837,0.556831358335902,0.967730651348646
"Hipk3",0.456140350877193,76,-60.7052710262507,-60.6513847608039,-0.0538862654468488,0.742694469248924,0.991326396049414
"Hivep1",0.457575757575758,55,-47.1900017706532,-46.8822148610919,-0.307786909561308,0.432696853955611,0.967730651348646
"Hivep2",0.526840977354797,166,-166.830332623173,-166.54625370415,-0.284078919022676,0.450991872408433,0.967730651348646
"Hltf",0.647058823529412,51,-36.9728104087933,-36.967616977118,-0.0051934316753588,0.918823379934259,1
"Hmcn1",0.462650593186505,291,-431.557822899401,-431.199200451845,-0.358622447556002,0.397049123150095,0.967730651348646
"Hnrnpa2b1",0.52991452991453,117,-93.8117587170224,-93.7932057207508,-0.0185529962715663,0.847249407732585,1
"Hnrnpa3",0.57843137254902,51,-38.4783165233101,-38.1636575199607,-0.314659003349433,0.427605583887214,0.967730651348646
"Hnrnpc",0.573170731707317,82,-62.1179665996993,-61.9624329751847,-0.155533624514611,0.577026015983641,0.968735563642237
"Hnrnpf",0.589285714285714,56,-42.7689502070188,-42.4876932590246,-0.281256947994159,0.453249125337925,0.967730651348646
"Hnrnph1",0.560763888888889,96,-76.7566179643878,-76.6962730647888,-0.0603448995990306,0.728287547629605,0.98937108996991
"Hpcal1",0.367647058823529,51,-41.6797722976214,-41.5862991091697,-0.0934731884516822,0.665470367214993,0.989169081646257
"Hs2st1",0.452727272727273,55,-44.344936941314,-44.0639147602876,-0.28102218102638,0.453437708851489,0.967730651348646
"Hs3st1",0.408805031446541,53,-44.173404159651,-42.6076540379203,-1.56575012173067,0.0767930413035347,0.690289722136203
"Hsp90ab1",0.522798742138365,106,-88.08010129784,-88.065927710032,-0.0141735878079317,0.866295200922476,1
"Hsp90b1",0.366666666666667,55,-42.1582870130531,-42.1294949487322,-0.028792064320875,0.810355891814494,1
"Hspa12b",0.530054644808743,61,-47.1503576713075,-46.8121559481633,-0.33820172314428,0.410827942368238,0.967730651348646
"Hspa4",0.589147286821705,43,-34.0849980786392,-34.0441507922962,-0.0408472863430376,0.775013978826042,0.997219680807108
"Hspa4l",0.617021276595745,47,-35.9940386168185,-35.8670445320629,-0.126994084755594,0.614280779425806,0.973783689498617
"Hspb1",0.580808080808081,66,-52.64824885385,-52.5996994722295,-0.0485493816205178,0.755339407891161,0.994759090870903
"Hspg2",0.487784679089027,115,-106.424679998304,-105.886266750387,-0.538413247916921,0.299408576814575,0.967730651348646
"Hsph1",0.490566037735849,53,-41.5999063475564,-41.5105388402607,-0.0893675072956768,0.672462610260021,0.989169081646257
"Htra3",0.314393939393939,22,-17.7762737626018,-17.7283193631717,-0.0479543994300506,0.756795599539502,0.994759090870903
"Hycc1",0.435446009389671,71,-60.9942733397282,-60.8944472478287,-0.0998260918995086,0.655001739808801,0.989169081646257
"Ica1",0.726950354609929,47,-32.0184094114037,-31.4646194955637,-0.553789915840067,0.292608645082434,0.967730651348646
"Id1",0.440842490842491,91,-75.1035653302242,-74.8237860574442,-0.279779272779919,0.454438165953352,0.967730651348646
"Ier2",0.542452830188679,53,-41.1087414624706,-40.9860495809884,-0.122691881482211,0.620344433810106,0.973953691297026
"Ifitm10",0.320261437908497,51,-39.7169251198482,-37.275288926474,-2.44163619337424,0.0271181605357516,0.413881052060209
"Ifrd1",0.380952380952381,62,-50.247585338008,-50.2085458630622,-0.0390394749458309,0.779917837324304,0.997219680807108
"Igf1r",0.580333951762523,154,-149.86491969036,-149.391350741384,-0.473568948976293,0.33044889229199,0.967730651348646
"Igf2r",0.657291666666667,80,-60.7498542086992,-60.4732110033305,-0.276643205368664,0.456977969083586,0.967730651348646
"Igfbp4",0.338983050847458,59,-48.7674910513168,-48.2685027723937,-0.498988278923164,0.317800617481176,0.967730651348646
