gene,pvalue_hom,cell_type,condition
Herc4,0.0348084788118671,B_cell,F1_Young
Hivep2,0.617075077451974,B_cell,F1_Young
Ikzf3,0.808357101127883,B_cell,F1_Young
Ints6,0.157299207050281,B_cell,F1_Young
Irf2,0.405380558014064,B_cell,F1_Young
Itpr1,0.563702861650773,B_cell,F1_Young
Itpr2,0.0902366221786761,B_cell,F1_Young
Jak1,0.365712296281513,B_cell,F1_Young
Kansl1,0.617075071068419,B_cell,F1_Young
Kcnq5,1,B_cell,F1_Young
Lmbrd1,0.317310507862911,B_cell,F1_Young
Lncpint,0.28504940740261,B_cell,F1_Young
Lpp,0.0832645166635503,B_cell,F1_Young
Ly86,0.563702883390031,B_cell,F1_Young
Lyn,0.239316540249132,B_cell,F1_Young
Malat1,0.167265181658531,B_cell,F1_Young
Man1a,0.752096525851614,B_cell,F1_Young
Map4k4,0.827259371897089,B_cell,F1_Young
Med13,0.0832645166635503,B_cell,F1_Young
Mef2c,0.34577858615116,B_cell,F1_Young
Mir142hg,0.919860882622289,B_cell,F1_Young
Mtss1,0.592980098017427,B_cell,F1_Young
Myo1e,0.157299207050281,B_cell,F1_Young
Nedd9,0.165517858697466,B_cell,F1_Young
Nipbl,0.628394645117954,B_cell,F1_Young
Nr3c1,0.405380558014064,B_cell,F1_Young
Nsf,1,B_cell,F1_Young
Pag1,0.605576616335346,B_cell,F1_Young
Pan3,0.179712493859926,B_cell,F1_Young
Pax5,0.852683727299807,B_cell,F1_Young
Pde3b,0.105997546818773,B_cell,F1_Young
Pde4b,0.469549553224473,B_cell,F1_Young
Pde7a,0.527089256865538,B_cell,F1_Young
Pds5a,0.365712296281513,B_cell,F1_Young
Pecam1,0.0328220297378018,B_cell,F1_Young
Pgap1,0.0707011448659832,B_cell,F1_Young
Phip,0.781511294998713,B_cell,F1_Young
Pip4k2a,0.0955807045456293,B_cell,F1_Young
Pkig,0.0206106231057722,B_cell,F1_Young
Plcl2,0.13361420170898,B_cell,F1_Young
Prkacb,0.479500122186953,B_cell,F1_Young
Prkcb,0.403710932587527,B_cell,F1_Young
Prkce,0.725111636608668,B_cell,F1_Young
Psme4,0.36615656019406,B_cell,F1_Young
Pten,0.637351888233937,B_cell,F1_Young
Ptprc,0.757620723683397,B_cell,F1_Young
Ralgps2,0.334826057134277,B_cell,F1_Young
Rbm25,0.317310507862911,B_cell,F1_Young
Rbm39,0.563702861650773,B_cell,F1_Young
Rel,1,B_cell,F1_Young
Retreg1,0.738882680363527,B_cell,F1_Young
