gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Tacc1,F1_Aged,0.00280583114273149,0.587876427829699,shared,0.0608696071794901,0.574404761904762,Pericytes
Tbx20,F1_Aged,0.0203455831405521,0.600863557858377,shared,0.0444739190536504,0.620795107033639,Pericytes
Tbx3,F1_Aged,0.00234750693090396,0.29047619047619,shared,5.9813624709315e-4,0.243589743589744,Pericytes
Trpc3,F1_Aged,3.3008553453799703e-9,0.585579128554335,shared,7.2824275103864e-4,0.552252770869792,Pericytes
Tshz2,F1_Aged,1.3616675570176e-15,0.694695414099932,shared,8.19293359562854e-12,0.697159090909091,Pericytes
Ttc7b,F1_Aged,7.1979167774406e-4,0.305555555555556,shared,0.0271205005574292,0.321285140562249,Pericytes
Ubash3b,F1_Aged,5.20626438666464e-6,0.707855626326964,shared,0.00252920763494729,0.67481884057971,Pericytes
Zeb1,F1_Aged,3.06151558432546e-8,0.664189189189189,shared,2.9632390871961e-4,0.619638242894057,Pericytes
Zfpm2,F1_Aged,1.69517961570256e-5,0.580381536452965,shared,1.39613570699925e-5,0.606366694899304,Pericytes
Zmat4,F1_Aged,1.2461753004547e-4,0.254807692307692,shared,0.0299945345920605,0.295698924731183,Pericytes
Zswim5,F1_Aged,2.6213597637998597e-12,0.83130081300813,shared,1.23612806977789e-9,0.88,Pericytes
4833422C13Rik,F1_Young,2.54735117749699e-6,0.727213541666667,shared,1.1883503340277e-4,0.675287356321839,Pericytes
Abca8a,F1_Young,1.54312821841799e-17,0.776280892103677,shared,1.4336569221145398e-19,0.759190031152648,Pericytes
Abca8b,F1_Young,5.80940879102244e-5,0.725177304964539,shared,3.3008553453799703e-9,0.775537634408602,Pericytes
Abi1,F1_Young,0.028438446754762,0.60219298245614,shared,4.16406183470526e-5,0.628109452736318,Pericytes
Acyp2,F1_Young,0.00831479814729093,0.339495305164319,shared,0.04389485405779,0.382478632478632,Pericytes
Agmo,F1_Young,2.547595043107e-4,0.696969696969697,shared,0.034091714056158,0.620877192982456,Pericytes
Aig1,F1_Young,1.6253706557848e-5,0.732732732732733,shared,0.00100587999921043,0.667808219178082,Pericytes
Airn,F1_Young,2.49449992507876e-178,0.958405954974582,shared,4.72488751411101e-38,0.244608427747963,Pericytes
Akap6,F1_Young,0.0169659303365565,0.629496402877698,shared,3.5196020742155e-4,0.680444444444444,Pericytes
Ank3,F1_Young,0.0208482394558068,0.315068493150685,shared,0.00139157755873349,0.252941176470588,Pericytes
Ano6,F1_Young,6.6480923522016e-4,0.654285714285714,shared,4.05268635599127e-5,0.668812589413448,Pericytes
Atp8a1,F1_Young,3.78457158461194e-5,0.239130434782609,shared,5.14394772009473e-5,0.310931899641577,Pericytes
C330020E22Rik,F1_Young,0.00669434739951817,0.290079365079365,shared,1.5419562775633e-4,0.239583333333333,Pericytes
Cacnb2,F1_Young,7.044870821308949e-18,0.828125,shared,4.93030313796689e-24,0.8121103117506,Pericytes
Camk2d,F1_Young,0.00286868670177451,0.634117647058824,shared,3.12522653468662e-5,0.631666666666667,Pericytes
Cd36,F1_Young,0.00204244664608343,0.285306334371755,shared,4.4628524467638e-4,0.319995013712291,Pericytes
Cdc42,F1_Young,0.00273565388226624,0.33984375,shared,0.024346174565232,0.365740740740741,Pericytes
Cdh2,F1_Young,2.61258032869239e-17,0.892966360856269,shared,2.44393256909429e-26,0.883333333333333,Pericytes
Celf2,F1_Young,3.4606073246897e-4,0.678755868544601,shared,6.1518449203179e-4,0.637780071028802,Pericytes
Clic4,F1_Young,2.98264879670267e-5,0.302568922305764,shared,4.95811773043783e-21,0.218561048397561,Pericytes
Clstn2,F1_Young,3.72114583510198e-13,0.959016393442623,shared,1.45860134425903e-24,0.989583333333333,Pericytes
Col4a4,F1_Young,0.0355758597891871,0.271929824561404,shared,0.0342004449800943,0.338785046728972,Pericytes
Cp,F1_Young,8.21337739706967e-16,0.824766355140187,shared,5.9536104564856495e-28,0.838323917137476,Pericytes
Dennd1b,F1_Young,0.0944315278146929,0.380482456140351,shared,0.0046612368842384,0.358952380952381,Pericytes
Dip2b,F1_Young,0.0035260429587436,0.705387205387205,shared,0.0762778016724703,0.593400447427293,Pericytes
Dock9,F1_Young,0.00175906331778364,0.293650793650794,shared,5.6485846314032e-4,0.333844580777096,Pericytes
Ebf2,F1_Young,0.0834017385648012,0.547676697797763,shared,0.0227019117099766,0.538156116667353,Pericytes
Egflam,F1_Young,0.0890108018750131,0.558048433048433,shared,1.2461753004547e-4,0.6125249500998,Pericytes
Errfi1,F1_Young,2.09283990322787e-6,0.635118045534712,shared,2.5575239302087303e-9,0.631492397202116,Pericytes
Fabp4,F1_Young,0.0834017385648012,0.38718954248366,shared,0.00139157755873349,0.35361736334405097,Pericytes
Fat1,F1_Young,0.0890108018750131,0.348684210526316,shared,0.0644988901195715,0.356697819314642,Pericytes
Galnt18,F1_Young,1.26454500430886e-10,0.223255813953488,shared,8.29597314144368e-12,0.251090604026846,Pericytes
Gm56730,F1_Young,7.895080543617939e-42,0.9921875,shared,8.012755490414259e-70,0.994413407821229,Pericytes
Gna14,F1_Young,1.17768481375645e-5,0.159420289855072,shared,4.2170173320691e-5,0.264150943396226,Pericytes
Gnai1,F1_Young,0.0154518068009724,0.338842975206612,shared,5.8922525403412e-4,0.306712962962963,Pericytes
Grb10,F1_Young,5.63879469695603e-48,0.0294117647058824,shared,5.91389377168536e-6,0.690828402366864,Pericytes
Gulp1,F1_Young,0.0309541743730889,0.356111111111111,shared,4.45397563446442e-9,0.268216253443526,Pericytes
Hdac9,F1_Young,0.00859463025785878,0.309701492537313,shared,2.94410640040888e-5,0.31650641025641,Pericytes
Impa2,F1_Young,3.3654813650328e-4,0.23936170212766,shared,1.59529747449262e-7,0.253703703703704,Pericytes
Kcnq1ot1,F1_Young,6.78226740155094e-29,0.990740740740741,shared,7.66825937569157e-11,0.240196078431373,Pericytes
Lama2,F1_Young,1.6447514448367e-8,0.390436272789214,shared,4.96946368578945e-9,0.405141485872577,Pericytes
Lima1,F1_Young,2.7588339220851e-4,0.70959595959596,shared,0.00692673141935211,0.626041666666667,Pericytes
