"","AR","N","loglik0_disp","loglik1_disp","llr_disp","pval_disp","padj_disp"
"Myh9",0.539094650205761,81,-65.469755677926,-65.4535726685262,-0.0161830093997963,0.857226692107081,0.999997774956151
"Myo10",0.483333333333333,25,-23.9785625160986,-23.4454358926174,-0.53312662348117,0.301793284751838,0.999997774956151
"Myo1d",0.465892672858617,38,-34.2514685990967,-33.557068214244,-0.694400384852749,0.238607725322618,0.999997774956151
"Myo1e",0.433544303797468,79,-69.9067542721713,-69.299454475421,-0.607299796750283,0.270423093613231,0.999997774956151
"Myo1f",0.548888888888889,75,-55.9132544225316,-55.7982159951561,-0.115038427375509,0.631466847711565,0.999997774956151
"Myo5a",0.515573893698894,264,-258.157700204279,-258.153819238022,-0.0038809662568724,0.929795741617328,1
"Myo6",0.302450980392157,34,-26.478337593879,-26.2480956582169,-0.230241935662111,0.497397922082549,0.999997774956151
"Myo9a",0.387092731829574,133,-106.910544004711,-106.464265202646,-0.446278802064228,0.344785161326095,0.999997774956151
"Myof",0.385233918128655,114,-87.0134670313057,-87.0100526495215,-0.00341438178421072,0.934140710329304,1
"N4bp2l2",0.536407766990291,103,-80.6425077915409,-80.6426617562185,0.000153964677636509,1,1
"Naa15",0.411469534050179,93,-75.4789026840784,-74.6758829448356,-0.803019739242842,0.205049424161851,0.999997774956151
"Naa16",0.480769230769231,91,-70.1439557159727,-70.1407843803,-0.00317133567273231,0.936522873040578,1
"Nav1",0.489234400656814,232,-226.245996266067,-225.705552724091,-0.540443541976316,0.298499194014857,0.999997774956151
"Nav3",0.181034482758621,58,-36.2482225031212,-31.053735227693,-5.1944872754282,0.00126770008388341,0.115286137040221
"Nbeal1",0.476482021379981,147,-125.580899131228,-125.565906836371,-0.0149922948573789,0.862525200741617,0.999997774956151
"Ncf2",0.531884057971014,115,-86.8740682471877,-86.5502335406087,-0.323834706579021,0.420947159543732,0.999997774956151
"Nck1",0.428571428571429,70,-53.1282035438237,-53.0983190566567,-0.0298844871669814,0.806861459197332,0.999997774956151
"Ncoa1",0.631578947368421,76,-55.5843308644133,-54.6949216373801,-0.889409227033198,0.182294480425431,0.999997774956151
"Ncoa2",0.50174520069808,191,-161.96282575823,-161.179543202677,-0.783282555552972,0.210706544842685,0.999997774956151
"Ncoa3",0.446713615023474,142,-122.620018723313,-122.205465457596,-0.414553265717231,0.362531012030939,0.999997774956151
"Ncor1",0.503830227743271,161,-132.268425430146,-132.153806518964,-0.114618911181992,0.632089548451502,0.999997774956151
"Ndfip1",0.509563492063492,180,-155.275446736216,-154.675191913494,-0.600254822721524,0.273219840385596,0.999997774956151
"Neat1",0.545882135267602,287,-317.290742237507,-317.293109608545,0.00236737103887208,1,1
"Nedd4",0.402439024390244,41,-32.3607510313433,-32.0717771746396,-0.288973856703734,0.447117877933466,0.999997774956151
"Nedd9",0.510931899641577,93,-85.1107433401201,-85.0587582760034,-0.0519850641167494,0.747116361234631,0.999997774956151
"Nek7",0.522229064039409,116,-94.9929431716227,-94.8754444225257,-0.117498749096967,0.627842765110836,0.999997774956151
"Nemf",0.485632183908046,58,-45.3808559717701,-44.4616060631279,-0.919249908642144,0.175126879652853,0.999997774956151
"Nf1",0.518134171907757,159,-143.705617796417,-143.572208865773,-0.133408930643952,0.605474409921736,0.999997774956151
"Nfat5",0.554906542056075,107,-93.4208802788028,-93.3600612402707,-0.0608190385321734,0.727264609240976,0.999997774956151
