gene,group,abs_diff
Cpq,Overlap,0.00907149484770997
Cpsf3,ASPEN_only,0.014972261420548
Cpsf7,ASPEN_only,0.020299333297809
Cpt1a,ASPEN_only,0.025064225169468
Cpxm2,ASPEN_only,0.012538509985686
Cradd,Overlap,0.019291443895592
Crebbp,ASPEN_only,0.00483776958099202
Crem,ASPEN_only,0.00245007363073396
Cript,ASPEN_only,0.046117922128463
Crtc3,ASPEN_only,0.00217060728989704
Cry1,ASPEN_only,0.0285430476129019
Cryab,ASPEN_only,0.00825518383705903
Crybg3,ASPEN_only,0.015900656617211
Cs,ASPEN_only,0.00324253557491699
Csde1,ASPEN_only,0.007831140443534
Csnk1a1,ASPEN_only,0.000117736060404994
Csnk1g3,ASPEN_only,0.00288808625769899
Cspp1,ASPEN_only,0.00124560680269997
Cst3,ASPEN_only,0.035098325085294
Ctdspl,ASPEN_only,0.012254416048248
Ctnna1,ASPEN_only,0.00544005824370297
Ctnnal1,Overlap,0.026177220302367
Ctnnd2,GLM_only,0.200791182042007
Ctsh,ASPEN_only,0.018182278318898
Cubn,Overlap,0.0364175649712759
Cuedc1,Overlap,0.00755064842006104
Cul4a,ASPEN_only,0.04279886497026
Cul5,Overlap,0.00256994840408897
Cutc,ASPEN_only,0.043861396525309
Cux2,ASPEN_only,0.015090872392585
Cwc27,ASPEN_only,0.00290621997028701
Cwf19l2,ASPEN_only,0.00129836395104399
Cxxc5,ASPEN_only,0.01303213754509
Cyb5a,Overlap,0.000436445944679981
Cyb5r4,ASPEN_only,0.013286846048346
Cycs,ASPEN_only,0.035037496582259
Cyfip2,Overlap,0.015476104655425
Cyld,Overlap,0.018973316211559
Cyp2b10,ASPEN_only,0.037442882093032
Cyp2d22,ASPEN_only,0.0159219637771073
Cyyr1,ASPEN_only,0.039541282489061
D16Ertd472e,Overlap,0.088951178479935
D230022J07Rik,ASPEN_only,0.0404904531512029
D630024D03Rik,Overlap,0.0131501125465949
D630045J12Rik,Overlap,0.034499873034315
D7Ertd443e,Overlap,0.00242621778804097
D830005E20Rik,Overlap,0.00039626003005
D830013O20Rik,ASPEN_only,0.0638331428198331
D830024N08Rik,ASPEN_only,0.00541927603860903
D830032E09Rik,Overlap,0.001405107342213
Daam1,ASPEN_only,0.00797739353155103
Dapk1,Overlap,0.023510948854468
Dapk2,Overlap,0.0552723391770781
Dapp1,Overlap,0.0312146846025141
Dbp,ASPEN_only,0.045802159916152
Dcaf10,ASPEN_only,0.047290485724014
Dcaf11,ASPEN_only,0.039879288945927
Dcaf8,ASPEN_only,0.00230009126351799
Dcbld1,ASPEN_only,0.036112866728465
Dcbld2,ASPEN_only,0.010754582708016
Dclre1a,Overlap,0.00811574128926002
Dcp1b,Overlap,0.00587717654572395
Dct,GLM_only,0.0361656798953359
Dctn4,Overlap,0.00035891318138892
Dctn6,ASPEN_only,0.032643733107613
Dcun1d2,ASPEN_only,0.030262081787784
Ddhd1,ASPEN_only,0.026404736597663
Ddi2,ASPEN_only,0.00659227849602506
Ddit4,Overlap,0.093714580583139
Ddo,Overlap,0.0165922722548629
Ddx10,ASPEN_only,0.039678830610819
Ddx17,ASPEN_only,0.027433767698051
Ddx39b,Overlap,0.025273230972847
Ddx3x,Overlap,0.00274578938626502
Dennd10,ASPEN_only,0.00511768451928601
Dennd1b,Overlap,0.00207910479907603
Dennd4c,ASPEN_only,0.00199720575877699
Dennd5b,ASPEN_only,0.016667762614105
Depp1,Overlap,0.00706931437314101
Deptor,Overlap,0.033194186390228
Des,GLM_only,0.001882948496852
Desi2,ASPEN_only,0.012419419644239
Dffb,Overlap,0.00703654761025208
Dgat2,ASPEN_only,0.00427113503524101
Dgkg,Overlap,0.00283352288210303
Dhps,ASPEN_only,0.039108135672691
Dhrs11,Overlap,0.011383233747884
Dhrs3,ASPEN_only,0.00961211598418399
Dhrs7,Overlap,0.02133178064714
Dhrs7b,ASPEN_only,0.025450911207064
Diaph2,ASPEN_only,0.00501909312370402
Dip2c,Overlap,0.00118414364163799
Dipk1a,ASPEN_only,0.039679945809985
Dipk2a,ASPEN_only,0.00900561636963904
Dixdc1,Overlap,0.00688983731326798
Dlc1,ASPEN_only,0.00550164290636501
Dlst,ASPEN_only,0.016278551091729
Dmac2,Overlap,0.00429852121718299
Dmd,Overlap,0.041184341260291
Dmpk,ASPEN_only,0.012384027545163
Dmxl2,ASPEN_only,0.007071336059435
Dnaaf9,Overlap,0.00756613512294002
Dnah7b,Overlap,0.061984496121085
Dnai4,ASPEN_only,0.038872686533581
Dnaja1,ASPEN_only,0.050268142434214
Dnajb4,ASPEN_only,0.00981291938422901
Dnajc11,ASPEN_only,0.00208005146710399
Dnajc12,GLM_only,0.00152553762388497
Dnajc15,ASPEN_only,0.024230004288359
Dnajc25,ASPEN_only,0.02857231463553
Dnase1l1,Overlap,0.034028998611717
Dnm1l,ASPEN_only,0.00220348232614104
Dnm2,ASPEN_only,0.014244341057557
Doc2g,ASPEN_only,0.00613720342580104
Dock1,ASPEN_only,0.010129056093518
Dock3,Overlap,0.0137631596484441
Dock4,ASPEN_only,0.015890656981858
Dock5,ASPEN_only,0.00323805254062803
Dock7,ASPEN_only,0.012188796106861
Dock8,ASPEN_only,0.095381370158762
Dock9,ASPEN_only,0.064791523467239
Dok7,ASPEN_only,0.00880303269368299
Dot1l,ASPEN_only,0.010959844386104
Dpf3,ASPEN_only,0.011511218647856
Dph6,ASPEN_only,0.00877774450865299
Dsc2,ASPEN_only,0.027456367492033
Dsg2,Overlap,0.021945630508872
Dsp,Overlap,0.00751570837998894
Dst,Overlap,0.013435893297488
