gene,Category,glm_ar,aspen_ar
Ell2,Overlap,0.4267263053084588,0.4665
Eml6,Overlap,0.7261418700673998,0.7426
Enah,Overlap,0.5532103214943911,0.5744
Enpp2,Overlap,0.14540941271019867,0.1169
Entpd4,Overlap,0.7140303628874465,0.6914
Entrep1,Overlap,0.38114182483846126,0.3678
Epb41l3,Overlap,0.23691684420840092,0.2601
Epha4,Overlap,0.5957884453473591,0.6305
Ephb1,Overlap,0.04988210965302422,0.0402
Ephx2,Overlap,0.7774611286174296,0.7575
Epm2a,Overlap,0.3165064717140484,0.3153
Erlec1,Overlap,0.6012944936926096,0.5884
Errfi1,Overlap,0.7600754888703156,0.7105
Esyt2,Overlap,0.6042991903614535,0.6136
Ethe1,Overlap,0.1785539661883988,0.2276
Exd1,GLM_only,0.5955125745947106,0.6393
Exoc3,Overlap,0.5928852756318475,0.5855
Ext1,Overlap,0.6025691286400249,0.6031
Fabp3,Overlap,0.5731645612274953,0.5777
Fah,Overlap,0.1819608366379374,0.182
Fam13a,Overlap,0.5779630668554887,0.5458
Fam20a,Overlap,0.2099879118002211,0.1865
Fam241a,Overlap,0.3213558213773613,0.3042
Fancc,Overlap,0.12348825923166717,0.1303
Fblim1,Overlap,0.6741278063587925,0.6706
Fbxo10,Overlap,0.7054144382779272,0.6722
Fgf1,Overlap,0.5668128725646634,0.5712
Fhl2,Overlap,0.5860146875074889,0.58
Fhod3,Overlap,0.6229380223314601,0.6237
Filip1,Overlap,0.4588993200037828,0.4522
Fkbp3,Overlap,0.717290794139015,0.6486
Fkrp,Overlap,0.30120490168440234,0.2918
Flad1,Overlap,0.3090115956298832,0.3506
Flnc,Overlap,0.6154970525307037,0.595
Flvcr1,Overlap,0.3233150597168325,0.3028
Flvcr2,GLM_only,0.7156858241902773,0.6421
Fmn1,Overlap,0.026755165877705843,0.0246
Fnbp1,Overlap,0.6210860563642532,0.6416
Fnip2,Overlap,0.4135143666863061,0.4578
Focad,Overlap,0.5877043215816912,0.5899
Foxn3,Overlap,0.5785640513603811,0.564
Foxo6os,Overlap,0.15668521988745684,0.1341
Frem2,Overlap,0.7795906889936296,0.7912
Frmd4a,Overlap,0.30889000019317975,0.3056
Frmd5,Overlap,0.6321576626023503,0.6166
Frmd8os,Overlap,0.21608461545160448,0.2778
Frs2,Overlap,0.5744024325427134,0.5735
Fry,Overlap,0.47755160928426943,0.4751
Fsd1l,GLM_only,0.5577772229000653,0.5544
Fsd2,Overlap,0.30335416372878504,0.3315
Fstl4,Overlap,0.5834722207696122,0.5711
Fto,GLM_only,0.5666152663083569,0.5612
Fxyd1,Overlap,0.39455373861014864,0.3944
Fyco1,GLM_only,0.5657371549291595,0.5816
Fyn,Overlap,0.7699029411530359,0.8157
G3bp2,Overlap,0.2890184576351821,0.3067
Gabrb3,GLM_only,0.30854640272955325,0.1782
Gadd45b,Overlap,0.29029610094325303,0.2822
Galm,Overlap,0.7457102764368579,0.7291
Galnt18,Overlap,0.3425730403015877,0.3409
Garem1,Overlap,0.5748450528576641,0.5765
Gch1,Overlap,0.33135694439534014,0.3896
Gck,Overlap,0.8867604568417253,0.884
Gcnt1,Overlap,0.10504515884340379,0.0656
Gfm2,Overlap,0.6609681230106729,0.6147
Gfod1,Overlap,0.7231668966453823,0.6893
Ggps1,Overlap,0.2375500809308535,0.2384
Ghr,GLM_only,0.5259960145537901,0.5261
Gipc2,Overlap,0.7285509507558544,0.7337
Gja1,Overlap,0.6276272841053412,0.5912
Glis1,GLM_only,0.4284776578290814,0.3956
Glt8d1,GLM_only,0.6405359732007123,0.6281
Glul,Overlap,0.615602099638359,0.5994
Gm11734,Overlap,0.8051626715296799,0.7838
Gm11884,Overlap,0.03680418973140454,0.0417
Gm11967,Overlap,0.8552896007372038,0.831
Gm12092,Overlap,0.27403861098951504,0.2808
Gm12153,Overlap,0.8278449341460439,0.7539
Gm12224,Overlap,0.08003586576875744,0.0862
Gm12295,Overlap,0.806425431164138,0.793
Gm13274,Overlap,0.9375587355061213,0.9768
Gm13481,Overlap,0.9909096945324811,0.9903
Gm13483,Overlap,0.9453250301023837,0.9338
Gm14221,Overlap,0.16858950606208592,0.1667
Gm14305,Overlap,0.22789746483088735,0.219
Gm14964,Overlap,0.8562470170948602,0.8742
Gm15328,Overlap,0.6815521105884113,0.635
Gm15545,Overlap,0.23808341894724214,0.278
Gm15737,Overlap,0.3162795152822591,0.3277
Gm15738,Overlap,0.6668277073121002,0.6568
Gm15932,Overlap,0.7915103030028822,0.7837
Gm15943,Overlap,0.233673688071185,0.2606
Gm15958,Overlap,0.17192407198361687,0.1987
Gm16023,Overlap,0.6121362910657983,0.5818
Gm16168,Overlap,0.2960421489844041,0.3004
Gm16316,Overlap,0.05318286937038782,0.0579
Gm16386,Overlap,0.7512497426690166,0.7948
Gm16573,GLM_only,0.6711771903408841,0.6677
Gm16685,Overlap,0.6967780625698747,0.7093
Gm17197,Overlap,0.17989699202612988,0.2033
Gm18258,Overlap,0.29969791621694175,0.2883
Gm19299,Overlap,0.9725341178736223,0.9576
Gm19324,Overlap,0.8673575222941582,0.7693
Gm19410,Overlap,0.20627539665640152,0.2497
Gm19689,GLM_only,0.7426788773321188,0.6519
Gm1976,Overlap,0.7758829689672622,0.7792
Gm20186,Overlap,0.943265798476643,0.9042
Gm20618,Overlap,0.06343667023210929,0.088
Gm20619,Overlap,0.4297447524751392,0.4137
Gm20732,Overlap,0.566471079979737,0.5596
Gm20757,Overlap,0.7353649774015132,0.741
Gm24474,Overlap,0.9467803702448174,0.9419
Gm26549,Overlap,0.2939522239828421,0.347
Gm26779,Overlap,0.09552470802999294,0.1036
Gm26862,Overlap,0.3070781072096728,0.3092
Gm26881,Overlap,0.10947443829503692,0.0988
Gm26901,Overlap,0.9543683324844732,0.9552
Gm28403,Overlap,0.8739879579418309,0.8591
Gm30085,Overlap,0.2832050684286175,0.2856
Gm30262,GLM_only,0.8226550047120508,0.7609
Gm30307,Overlap,0.764554005755019,0.7643
Gm30382,Overlap,0.7833292987733221,0.7822
Gm30963,GLM_only,0.2413607948377222,0.2446
Gm31224,Overlap,0.7548563222536774,0.7329
Gm31356,Overlap,0.35429851458819944,0.4017
Gm31663,Overlap,0.30739184395137764,0.2998
Gm31870,Overlap,0.8149391391993668,0.7905
Gm32027,Overlap,0.9820377077806048,0.9767
Gm32591,Overlap,0.8172671645053478,0.7885
Gm32828,Overlap,0.04889665909931688,0.0814
Gm33424,Overlap,0.8081394825659385,0.7709
Gm33609,Overlap,0.33979186518121784,0.3384
Gm34240,Overlap,0.12215382929249592,0.1375
Gm35041,Overlap,0.3510310825726372,0.3736
Gm35212,Overlap,0.06965741625299371,0.0901
Gm35268,Overlap,0.9650360389034333,0.9761
Gm35330,Overlap,0.8133193430642501,0.8042
Gm35546,Overlap,0.7391807188563247,0.7713
Gm3587,Overlap,0.5964359346752336,0.5798
Gm36037,Overlap,0.42260639503148467,0.4219
Gm36235,Overlap,0.8357448441764724,0.8415
Gm36372,Overlap,0.7832124549922583,0.7796
Gm36703,Overlap,0.6749322349429654,0.6576
Gm37184,Overlap,0.13774245688137376,0.1147
Gm37376,Overlap,0.44101363621831924,0.4504
