"","AR","N","log2FC","llr_mean","pval_mean"
"Gm36827",0.514761904761905,35,0.156725503687454,0.0150619102619629,1
"Gm37376",0.46559466417421,132,-0.282282290427073,-0.466707990727798,0.333976854760109
"Gm37677",0.55,10,0.0473057147783584,0.560471651875979,1
"Gm40124",0.100694444444444,24,-3.30742852519225,-32.6679697122674,6.31589494999999e-16
"Gm40652",0,13,-5.8073549220576,-13.4538050638512,2.13416890086048e-07
"Gm43361",0.673873873873874,37,0.863938450423973,-2.55987285739512,0.0236550827092695
"Gm44127",0.35,10,-1.09953567355091,-1.58526108603913,0.0749784711036134
"Gm44386",0.466666666666667,10,-0.53605290024021,-0.363366588767803,0.393944146633221
"Gm44686",0.535087719298246,19,-0.158697746019058,1.51621363949663,1
"Gm48678",0.621212121212121,11,-0.375509135092205,7.43808685102262,1
"Gm49164",0.513333333333333,10,0.823122237915919,-0.396537272358376,0.373172066864496
"Gm49390",0.569444444444444,12,0.0588936890535683,1.99982882084806,1
"Gm5532",0.545977011494253,29,0.406625259462643,-0.59278557686121,0.27622473081242
"Gm56583",0.28030303030303,11,-0.536052900240214,0.20172277931124,1
"Gm56646",1,22,Inf,-66.4269385179505,9.73173957652135e-31
"Gm56730",0.996699669966997,101,9.19475685442224,-398.791065500554,1.81029918969902e-175
"Gm57242",0.429487179487179,13,-0.49476469174958,-0.523066082318696,0.306399568799674
"Gm57283",0.816666666666667,22,1.98185265328974,-11.1081797898234,2.43589391579259e-06
"Gm8189",0.981481481481482,27,4.96962635095648,-53.1455418404075,6.36622678105008e-25
"Gm9895",0.778571428571429,20,1.91253715874966,-10.0969565615543,6.9975240211874e-06
"Gmds",0.506507853446629,147,0.107294013171909,-0.178351322647671,0.550343229338165
"Gmeb2",0.430555555555556,12,-0.389946518316014,-0.563763601525217,0.288303406172151
"Gmfb",0.375,12,-0.362570079384709,0.726379969197289,1
"Gna12",0.541666666666667,12,0,0.219532014802098,1
"Gna13",0.494047619047619,28,0.142019004872429,0.848906344350297,1
"Gnai3",0.318181818181818,11,-0.534336427651188,-0.136242984317278,0.60166901767601
"Gnao1",0.875,12,1.15200309344505,3.59864232409745,1
"Gnaq",0.506558020141974,181,0.0999957899767217,-0.266477933418173,0.465366795902401
"Gnas",0.484848484848485,11,-0.55019708256048,-0.731843843441816,0.226344281469743
"Gnb1",0.498284556878307,96,-0.136778733460445,0.400817602000274,1
"Gng12",0.470119047619048,40,-0.0951572330403403,0.0467962048963386,1
"Gng2",0.358333333333333,10,-0.436099114806671,0.0509945992380381,1
"Gns",0.452564102564103,26,-0.509013647487858,-1.3357404022527,0.102160930671158
"Golga4",0.520457393483709,76,-0.171045541336228,-0.131593782284853,0.607938663963249
"Golim4",0.612290862290862,37,0.314108590428063,4.58300216929695,1
"Golph3",0.500465838509317,46,0.229025513668895,0.321986202381225,1
"Gon4l",0.382716049382716,27,-0.700439718141092,-2.27492680373783,0.0329215610482895
"Gopc",0.555555555555556,15,0.140862535839851,-0.11052497357506,0.63824107325639
"Gorasp2",0.470588235294118,17,-0.0554951125917054,0.254978227320208,1
"Got1",0.498619528619529,45,0.145850866463454,-0.0106784115862411,0.883811076357012
"Got2",0.647058823529412,17,0.217591435072625,1.36492296007842,1
"Gpam",0.452272727272727,22,-0.231325546106457,0.0729397770171474,1
"Gpatch2",0.437777777777778,45,-0.328325866085512,-0.185462190526181,0.542500831959871
"Gpatch2l",0.716666666666667,10,0.563900885193329,1.18272616420595,1
"Gpatch8",0.53963963963964,74,0.0492435190198492,0.360895423959249,1
"Gpbp1",0.542156862745098,51,0.473931188332412,-1.93598226382164,0.0490990192408044
"Gpbp1l1",0.575925925925926,36,0.185866545311334,0.0462339525067961,1
