"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Lmbrd1",0.498633879781421,61,-0.0780025120012731,3.17965688446876,1,1
"Lmcd1",0.481981981981982,37,-0.430634354329862,3.49157130408344,1,1
"Lmo7",0.401977401129944,118,-0.591194454432671,-18.5947594706929,0,0
"Lncpint",0.448112491373361,230,-0.320645129003889,0.452855190078992,1,1
"Lnpep",0.450581395348837,86,-0.310340120612151,7.46256757493371,1,1
"Lnx1",0.518018018018018,37,-0.0506260730699681,3.72055665702153,1,1
"Lpl",0.424621212121212,44,-0.616671360448494,-6.09283594365607,0,0
"Lpp",0.524595117234711,197,0.0144270706352799,-7.41887435319273,0,0
"Lrba",0.613636363636364,99,0.55019708256048,16.2423305748196,1,1
"Lrch1",0.633830845771144,134,0.951090399519053,-15.4735281161811,0,0
"Lrch3",0.466811594202899,115,-0.26023577248112,-28.140017836776,0,0
"Lrp6",0.582089552238806,67,0.436099114806674,1.83375785202789,1,1
"Lrrc8c",0.48536036036036,74,-0.0565835283663678,4.72581423448183,1,1
"Lrrc8d",0.416441441441441,74,-0.476438043942987,7.9593944277767,1,1
"Lrrfip1",0.482954545454545,88,0.0901978089715785,13.5736759684234,1,1
"Lrrfip2",0.603703703703704,45,0.669851398307669,4.47110927524736,1,1
"Lrrk1",0.721212121212121,55,1.58496250072116,-4.67189123655412,0,0
"Lsamp",0.771190476190476,20,1.38466385023533,-5.65163729761509,0,0
"Ltbp1",0.495575221238938,113,0.0168738185643962,-18.0136111798273,0,0
"Ltbp4",0.419811320754717,106,-0.448984831202182,22.9256041615756,1,1
"Luc7l2",0.52214516874711,206,0.0532982261600492,8.47416746583573,1,1
"Luzp1",0.501312335958005,127,0.188761643455168,64.70068297868,1,1
"Lyn",0.62507806401249,61,0.649092838140872,-9.32848801805834,0,0
"Lyve1",0.372448979591837,49,-0.836501267717121,-6.83139741458865,0,0
"Macf1",0.457509157509157,91,-0.254572827085598,12.8330374246329,1,1
"Magi1",0.563315477014107,219,0.31034012061215,3.07945247481544,1,1
"Malat1",0.50945438837795,370,0.0350838441987511,-26.4469500243518,0,0
"Maml2",0.475609756097561,41,0,5.4904328492986,1,1
"Maml3",0.583850931677019,69,0.485426827170242,6.87299504063051,1,1
"Man1a",0.52371705963939,103,-0.0948591863414414,-14.5848427157663,0,0
"Man2a1",0.732873151154401,160,1.49957100949051,-4.56268920471413,0,0
"Map2k4",0.506613756613757,63,0,1.80575339203421,1,1
"Map2k5",0.533687943262411,94,0.195920209975257,7.46935828927998,1,1
"Map3k1",0.511544011544012,99,0.0210616155278296,17.2984888464338,1,1
"Map3k3",0.449717514124294,118,-0.235378062930928,46.3873678972034,1,1
"Map3k7",0.532786885245902,61,-0.0780025120012731,0.450597886173547,1,1
"Map4",0.410818713450292,57,-0.289506617194985,2.75083011319192,1,1
"Map4k3",0.493010752688172,93,0.165059246270496,-11.8053548264439,0,0
"Map4k4",0.459480122324159,109,-0.216811389073148,27.3548093517073,1,1
"Map4k5",0.469230769230769,65,-0.187627003175771,2.25953547715271,1,1
"Mapk1",0.579054054054054,74,0.350497247084133,4.31683895178908,1,1
"Marchf3",0.652004909983633,94,1.0121747139461,-14.0553649912387,0,0
"Mark2",0.482510288065844,81,-0.0303736490435189,2.92127711819624,1,1
"Mark3",0.446078431372549,85,-0.304854581528421,-12.1947088533736,0,0
"Mast2",0.312289562289562,99,-0.957771764610702,-14.4076043662211,0,0
"Mast4",0.515972642786114,193,0.0445464389532621,1.61869183475898,1,1
"Mat2a",0.716438356164384,73,1.22239242133645,-8.0372774721524,0,0
"Mbnl1",0.315126050420168,119,-1.15055967657538,-14.4160342952817,0,0
"Mbnl2",0.526523094642361,218,0.233797184608697,-1.69664697937463,0,0
"Mcc",0.289447731755424,169,-1.29155444584384,-1.55003134491844,0,0
"Mcf2l",0.432170542635659,43,-0.263034405833794,2.58443711213363,1,1
"Mctp1",0.363596831182615,144,-0.768184324776926,-3.63816273835886,0,0
