gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Man2a1,F1_Aged,0.0503354614770564,0.6865,aged_only,0.102866618330315,0.6933,Mesothelial
Mbnl2,F1_Aged,0.0755220776624529,0.4149,aged_only,0.441684361273549,0.5514,Mesothelial
Mcc,F1_Aged,0.0362013359598009,0.3728,aged_only,1,0.378,Mesothelial
Mgat5,F1_Aged,0.0397793360186601,0.2866,aged_only,1,0.4631,Mesothelial
Mpp7,F1_Aged,5.37249971082116e-6,0.758,aged_only,0.104082635711439,0.6392,Mesothelial
Nek7,F1_Aged,0.0493242022964054,0.3776,aged_only,0.160910967660125,0.6259,Mesothelial
Nipbl,F1_Aged,0.0362013359598009,0.3694,aged_only,0.783894312353679,0.4558,Mesothelial
Npr3,F1_Aged,0.00749997155062315,0.3321,aged_only,1,0.502,Mesothelial
Pbrm1,F1_Aged,0.0159148861489734,0.3433,aged_only,0.697684205764405,0.4171,Mesothelial
Pcdh7,F1_Aged,0.039418894139596,0.6182,aged_only,0.444598180855488,0.5545,Mesothelial
Pdgfd,F1_Aged,0.0493242022964054,0.6974,aged_only,0.612991771354125,0.5694,Mesothelial
Pdzrn4,F1_Aged,0.0179602996967795,0.7829,aged_only,0.160910967660125,0.6768,Mesothelial
Piezo1,F1_Aged,0.0818601478273428,0.322,aged_only,1,0.5018,Mesothelial
Ppp1r12a,F1_Aged,0.0847493580553018,0.3572,aged_only,0.89035018433757,0.4982,Mesothelial
Ppp1r3a,F1_Aged,0.0901790230212693,0.7394,aged_only,0.358461986708102,0.6399,Mesothelial
Prune2,F1_Aged,0.0261135338087256,0.6848,aged_only,0.900150907392886,0.6407,Mesothelial
Ptprk,F1_Aged,1.2660030990672e-4,0.3045,aged_only,0.283155635991577,0.4458,Mesothelial
Rapgef5,F1_Aged,0.0243425826906829,0.289,aged_only,1,0.3868,Mesothelial
Rnf169,F1_Aged,0.0546907960770022,0.688,aged_only,0.800129867423252,0.5771,Mesothelial
Ryr2,F1_Aged,0.0194456055809255,0.4293,aged_only,0.104543565328739,0.4475,Mesothelial
Sema5a,F1_Aged,0.00736100234508854,0.3429,aged_only,0.3707492443888,0.4174,Mesothelial
Sf3b1,F1_Aged,0.0911125823810322,0.6207,aged_only,1,0.4673,Mesothelial
Sik2,F1_Aged,0.0712501703524293,0.6588,aged_only,0.449513171964296,0.657,Mesothelial
Slc4a4,F1_Aged,0.0996079328829345,0.4138,aged_only,0.518783609038423,0.4346,Mesothelial
Smap1,F1_Aged,0.0712501703524293,0.3827,aged_only,1,0.4344,Mesothelial
Smc5,F1_Aged,0.00129308932358731,0.228,aged_only,0.141761298947263,0.2591,Mesothelial
Sntb2,F1_Aged,1.1240315261543e-4,0.7567,aged_only,0.108612036139989,0.6097,Mesothelial
Sorbs2,F1_Aged,0.0642396136874402,0.3835,aged_only,0.65893083312878,0.5656,Mesothelial
Srek1,F1_Aged,0.0722051510114714,0.6846,aged_only,1,0.5401,Mesothelial
St3gal6,F1_Aged,0.0911125823810322,0.3701,aged_only,0.385485403425302,0.3903,Mesothelial
Stard13,F1_Aged,0.0362013359598009,0.6473,aged_only,1,0.529,Mesothelial
Sulf1,F1_Aged,0.0343449726217036,0.376,aged_only,0.302729921296169,0.4161,Mesothelial
Susd6,F1_Aged,0.0142327814299571,0.68,aged_only,1,0.5929,Mesothelial
Tanc1,F1_Aged,0.0332108709011814,0.6654,aged_only,0.945608109175295,0.56,Mesothelial
Tango6,F1_Aged,0.0132694172948453,0.7852,aged_only,0.190463473726876,0.6537,Mesothelial
Tll1,F1_Aged,4.94923744888106e-5,0.2463,aged_only,0.514501993865882,0.4313,Mesothelial
Tor1aip1,F1_Aged,0.0901790230212693,0.3602,aged_only,1,0.4996,Mesothelial
Trip12,F1_Aged,0.047180179765322,0.404,aged_only,1,0.4339,Mesothelial
Tut4,F1_Aged,0.00168309486275215,0.7145,aged_only,0.267768950594908,0.3793,Mesothelial
Urgcp,F1_Aged,0.00707436584607987,0.7273,aged_only,0.160910967660125,0.6685,Mesothelial
Usp53,F1_Aged,0.0513074592538411,0.6519,aged_only,0.169447133766458,0.6506,Mesothelial
Xrn1,F1_Aged,0.0988404318522702,0.3855,aged_only,1,0.5298,Mesothelial
Zmynd8,F1_Aged,0.0532090224908842,0.3467,aged_only,0.783894312353679,0.4193,Mesothelial
Adcy9,F1_Young,0.00419658199928483,0.747,young_only,0.892874739910448,0.5343,Mesothelial
Ano6,F1_Young,0.0299527503541422,0.6566,young_only,1,0.4786,Mesothelial
Ap4e1,F1_Young,2.1254341147691401e-10,0.9226,young_only,0.101388415416084,0.6807,Mesothelial
Atp10d,F1_Young,0.0580163958433669,0.7299,young_only,1,0.5057,Mesothelial
B4galt1,F1_Young,0.0893010482287014,0.6525,young_only,0.807562527110039,0.5486,Mesothelial
Baiap2l1,F1_Young,0.0314417783146741,0.7628,young_only,0.533127414993537,0.5941,Mesothelial
Cacnb2,F1_Young,0.0955799329460288,0.5796,young_only,0.107764449284846,0.5666,Mesothelial
Cdon,F1_Young,0.0109398805051287,0.3181,young_only,0.130697054729714,0.3745,Mesothelial
Cradd,F1_Young,0.0517907841799669,0.307,young_only,0.477493744890123,0.3248,Mesothelial
Elp4,F1_Young,0.00424924121115979,0.287,young_only,0.646623758845089,0.5691,Mesothelial
Epc1,F1_Young,0.0314417783146741,0.6589,young_only,0.626772936624234,0.571,Mesothelial
Fhod3,F1_Young,0.00424924121115979,0.6475,young_only,0.221923492882675,0.5784,Mesothelial
Fnip2,F1_Young,0.0955799329460288,0.3558,young_only,0.653854069808304,0.4148,Mesothelial
Gm35330,F1_Young,0.00171570840826057,0.7878,young_only,0.177381801477854,0.685,Mesothelial
Homer1,F1_Young,0.0550193009670997,0.3771,young_only,0.883334010639915,0.4398,Mesothelial
Ipo7,F1_Young,0.0216560648070895,0.2557,young_only,1,0.4958,Mesothelial
Lrch1,F1_Young,0.00622326279067099,0.7062,young_only,0.646623758845089,0.571,Mesothelial
Mtmr3,F1_Young,0.0909572187580822,0.6032,young_only,0.981313140037832,0.4762,Mesothelial
Myh6,F1_Young,0.0955799329460288,0.5855,young_only,0.220160945217897,0.579,Mesothelial
Myl2,F1_Young,0.0301394251763612,0.6845,young_only,0.487007333476876,0.6311,Mesothelial
Myof,F1_Young,0.0223733277076769,0.3128,young_only,0.859422770609874,0.4542,Mesothelial
Neat1,F1_Young,0.0346902345642892,0.5844,young_only,0.411680567751351,0.5464,Mesothelial
Nfe2l2,F1_Young,0.0933184808921023,0.6809,young_only,1,0.6207,Mesothelial
Nr3c2,F1_Young,0.021352335057191,0.3627,young_only,1,0.4834,Mesothelial
Nrip1,F1_Young,0.0916461169010954,0.3492,young_only,0.105975934494989,0.4282,Mesothelial
Nt5dc1,F1_Young,0.00174472445162172,0.2534,young_only,0.1144477119716,0.332,Mesothelial
Pakap,F1_Young,0.0799384045509349,0.5962,young_only,0.484489189333895,0.5487,Mesothelial
Pcnx1,F1_Young,0.0603292183966298,0.3761,young_only,1,0.4779,Mesothelial
Phip,F1_Young,0.0581207935583064,0.3972,young_only,1,0.5345,Mesothelial
Pkia,F1_Young,0.0415260408789395,0.2615,young_only,0.92870103399674,0.4839,Mesothelial
Plce1,F1_Young,0.0257362267443373,0.4214,young_only,1,0.4665,Mesothelial
Ppip5k2,F1_Young,0.0955799329460288,0.6488,young_only,0.4149948553885,0.6476,Mesothelial
Rora,F1_Young,0.0415260408789395,0.591,young_only,0.261157193810066,0.5645,Mesothelial
Slc38a2,F1_Young,0.0955799329460288,0.3479,young_only,1,0.4871,Mesothelial
Slc39a8,F1_Young,0.0390103886231261,0.6482,young_only,0.115640365859479,0.6334,Mesothelial
Smyd3,F1_Young,0.0944007845501442,0.4023,young_only,1,0.477,Mesothelial
Stxbp6,F1_Young,0.0031854883464052,0.3358,young_only,0.852476096094942,0.4738,Mesothelial
Tcf12,F1_Young,0.0237616230286684,0.3442,young_only,1,0.508,Mesothelial
Tnnt2,F1_Young,0.0530224590821578,0.6644,young_only,0.458423799856595,0.5905,Mesothelial
Trabd2b,F1_Young,0.0775124267285781,0.6721,young_only,0.637478192226445,0.6715,Mesothelial
Trim24,F1_Young,0.029147502332044,0.3055,young_only,0.105975934494989,0.2363,Mesothelial
Vgll4,F1_Young,0.0244518176669264,0.717,young_only,1,0.551,Mesothelial
Xdh,F1_Young,0.0257362267443373,0.7553,young_only,0.129848554208067,0.6596,Mesothelial
Xirp2,F1_Young,0.0391776161562043,0.3298,young_only,1,0.494,Mesothelial
Zfp609,F1_Young,0.0257362267443373,0.2998,young_only,1,0.5633,Mesothelial
Zfpm2,F1_Young,0.0657904328691865,0.4045,young_only,0.669457396684562,0.4851,Mesothelial
