gene,sex,ratio,celltype,condition
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8666666666666667,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
Airn,M,0.8571428571428571,Cardiomyocyte,F1_Aged
Airn,M,0.8888888888888888,Cardiomyocyte,F1_Aged
Airn,M,0.875,Cardiomyocyte,F1_Aged
Airn,M,1,Cardiomyocyte,F1_Aged
