"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Acat1",0.4874,0.474814814814815,45,0,0.0527720504742101,0.0806005117576101,-0.0721497857558353,0.105293454160311,1,1
"Acer2",0.4882,0.499594155844156,44,0.4026,0.208198384968981,0.08448033330929,-0.0801703486839833,-0.178632304225772,0.550029340557149,1
"Acer3",0.4289,0.46969696969697,33,0,0.086578476183861,0.132234192624817,-0.415037499278843,-0.15945209030119,0.572266937614744,1
"Ackr3",0.5495,0.490185830429733,41,0.2992,0.166451096509453,0.0806903080687707,0.423807708906576,-1.85155056654623,0.0543114363960467,1
"Aco2",0.4797,0.449517584811703,63,0.1671,0.113471028019635,0.0763900834619892,-0.104336659814735,0.0921583538176804,1,1
"Acot13",0.5107,0.487931034482759,29,0.0952,0.107414102317818,0.108841138940081,0.103093492964104,0.00250637423167888,1,1
"Acox1",0.5938,0.583784893267652,58,0.2271,0.139162694125352,0.0808298214941214,0.537028023657454,0.0712021648751531,1,1
"Acsl1",0.4894,0.488244047619048,48,1e-04,0.0527105904915945,0.0804486418774953,-0.0614005446641435,-0.0333223701059353,0.796286185438164,1
"Acsm5",0.1444,0.105654761904762,28,0.2712,0.179897961135875,0.117468152641526,-2.10433665981474,0.0698660578750463,1,1
"Acss1",0.5606,0.54550505050505,60,0.1307,0.0997075562878389,0.0764806743036259,0.339206086319198,-0.938299671100197,0.170721158567168,1
"Actc1",0.4241,0.446728524743231,68,0.0375,0.0658341398252778,0.0788006762264742,-0.471071534193172,-0.0392481523247028,0.779345609022772,1
"Actn1",0.6395,0.709145021645022,28,0.1234,0.119874617996861,0.111516499887205,0.584962500721156,0.0330014143143558,1,1
"Actn2",0.4816,0.486156049197812,82,0.0628,0.0736039103073802,0.0759937056761387,-0.108524456778169,0.00492271054625348,1,1
"Actn4",0.5146,0.555555555555556,45,0.0674,0.083989570145201,0.0891880701351036,0.0430687218918859,-1.46863807736152,0.0865565816080742,1
"Actr2",0.5204,0.511904761904762,35,0.3425,0.211464227485428,0.124326363446076,0.169925001442312,-0.385726875211532,0.379767698402742,1
"Actr3",0.5109,0.509259259259259,45,0.6718,0.309162285112191,0.0825498634613536,0.0384741478146355,-0.545341674740094,0.296319850320021,1
"Acvr2a",0.443,0.471920289855072,46,0.0017,0.0570327944568078,0.0861220880670311,-0.331205908475373,-1.60987086310173,0.0727551085087715,1
"Acyp2",0.3946,0.375322101379482,100,0.0353,0.0622516879151425,0.074605078009061,-0.575114714764809,-0.0170467753823971,0.85350796633827,1
"Adam10",0.3881,0.410544217687075,49,0.2441,0.145166308638852,0.0801393420610726,-0.745427172914402,-0.519357590467038,0.308120475188437,1
"Adam17",0.5763,0.548387096774194,31,0.1451,0.162900953762149,0.164646056712723,0.473931188332412,0.0723987725744202,1,1
"Adam19",0.276,0.288888888888889,42,0.4666,0.229534200110076,0.079947234968123,-1.49880585697144,0.741056296414854,1,1
"Adam22",0.7619,0.736111111111111,36,1e-04,0.0619720937222219,0.0945940444784069,1.67807190511264,-1.02346523914251,0.152513408748378,1
"Adamts1",0.5612,0.576543209876543,27,0.1218,0.111623810602081,0.0998427667262455,0.289506617194985,-0.030752653337661,0.804132368501977,1
"Adamts6",0.6496,0.671052631578947,38,1.601,0.676083086758073,0.104024234508496,0.502500340529183,-0.522226822232803,0.306787929460431,1
"Adamts9",0.5032,0.54509867009867,74,0.1982,0.127354898167065,0.079557381133831,-0.0220263063299992,-0.609593738686755,0.269520168855425,1
