"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Mpc2",NA,889,0.0802254380823511,0.0401766216065447,0.0401766216065447,1.06435667590313,1.3758001944457,0.112444786168162
"Mpdz",NA,1575,0.807289790787855,0.195422169125257,0.195422169125257,1.09165569046643,1.45697453557587,0.334495938930112
"Mphosph10",NA,226,0.302246260592803,0.523758817665342,0.302246260592803,1.04407567571239,1.32403272616945,0.432816097993043
"Mphosph8",NA,463,0.449231927225246,0.471989443553235,0.449231927225246,1.07548474252126,1.31962080798307,0.55315665360051
"Mphosph9",NA,435,0.116752223277316,0.184338736121153,0.116752223277316,1.02846152160556,1.32138935810886,0.238556044203699
"Mpi",NA,209,0.448262957124189,0.565967028688469,0.448262957124189,1.01803110780057,1.30093413058021,0.552406619801727
"Mplkip",NA,193,0.226411004884837,0.847386501770427,0.226411004884837,1.03043685977733,1.27194761658043,0.366806055325203
"Mpp7",NA,1513,0.000514684656765807,0.0593367930348202,0.000514684656765807,1.22300949316171,1.46246384795664,0.00312265053500866
"Mppe1",NA,229,0.0234859406555771,0.168171160853192,0.0234859406555771,1.02812612814668,1.33099695621507,0.0766898790099774
"Mpped2",NA,1061,1.18466044926587e-16,0.317632904290378,1.18466044926587e-16,1.19816794660533,1.42462151466345,4.21153445109798e-15
"Mprip",NA,934,0.0127021787796161,0.294787812905936,0.0127021787796161,1.03946654452112,1.37552714843356,0.0473655788552802
"Mpv17",NA,278,0.00806999142953048,0.397833936763208,0.00806999142953048,0.943257410436099,1.3390285933139,0.032693281540377
"Mrap",NA,139,0.138953140856526,0.803316476170358,0.138953140856526,0.958307226034232,1.14283036372174,0.270469232648445
"Mrc1",NA,133,0.913711779932559,0.320917431359958,0.320917431359958,1.13593318392032,1.30520596167967,0.448684787130015
"Mre11a",NA,160,0.828359393858529,0.739793778172546,0.739793778172546,1.03952122252411,1.21137684536952,0.775068713290707
"Mreg",NA,338,0.417061024635168,0.54055789804673,0.417061024635168,1.14074048353202,1.32458397126371,0.527204941015391
"Mroh1",NA,453,0.465107257449444,0.664236229069225,0.465107257449444,0.88579498844254,1.32168536693737,0.566412337409695
"Mrpl1",NA,593,0.375554697287492,0.55142413483438,0.375554697287492,1.05820295182972,1.33467680129518,0.492336880968563
"Mrpl10",NA,232,0.295346815915603,0.508329742067798,0.295346815915603,1.06465914234549,1.3271777625415,0.426994437083376
"Mrpl13",NA,373,0.507780036083755,0.0510846865400451,0.0510846865400451,1.08396138612657,1.32409260645851,0.134233152637591
"Mrpl15",NA,308,0.035916910571635,0.331069779585358,0.035916910571635,1.0392422478541,1.33684500729611,0.103831705197086
"Mrpl3",NA,771,0.000106674888406096,0.523661507146054,0.000106674888406096,1.05178465363203,1.35443631631555,0.00078767642220977
"Mrpl33",NA,665,0.342050187052224,0.114274051977257,0.114274051977257,1.03634253759509,1.34529840105521,0.235347806069665
"Mrpl37",NA,209,0.00938635327531953,0.160875891601385,0.00938635327531953,0.99172920300734,1.29653742619368,0.0368924493951689
"Mrpl38",NA,198,0.100646242604619,0.0091125003068013,0.0091125003068013,1.08531816486586,1.29801556281846,0.0360399387133991
"Mrpl39",NA,218,0.00183868980554557,0.134481863087201,0.00183868980554557,1.00289563694872,1.31329563620543,0.00950519842359143
"Mrpl42",NA,645,0.0237334981340614,0.990173656800809,0.0237334981340614,1.11169867586244,1.34613720556397,0.0770710727720515
"Mrpl45",NA,269,0.999999999999999,0.383997810202105,0.383997810202105,1.02047254038283,1.34375605047099,0.499063081322431
"Mrpl47",NA,369,0.263897374020454,0.823896223522992,0.263897374020454,1.04739724040651,1.32568742752439,0.401061492389084
"Mrpl48",NA,446,0.000755858490622252,0.236212084303244,0.000755858490622252,1.11578115088403,1.31997733973241,0.00437209554721902
"Mrpl52",NA,134,0.917813742238799,0.342068169049152,0.342068169049152,1.03196248039597,1.12720908572966,0.464788559359029
"Mrpl55",NA,283,0.490934750251303,0.441944951059925,0.441944951059925,1.00324245713496,1.34246702478045,0.547528183136421
"Mrps10",NA,448,0.000965364297435855,0.419977036756729,0.000965364297435855,1.0228520234553,1.31962771704346,0.00542043058932927
