gene,theta_glm,theta_asp,log2_ratio,underdisp,celltype,condition,chromosome
Scin,1e-6,1.05442087072692,-19.008020769348438,TRUE,Cardiomyocyte,F1_Aged,12
Sgo2a,1e-6,0.353342203961775,-17.43071063558338,TRUE,Cardiomyocyte,F1_Aged,1
Sh3d19,1e-6,1.54584707184698,-19.559967105428115,TRUE,Cardiomyocyte,F1_Aged,3
Shisa6,1e-6,0.687052791983844,-18.39006353183571,TRUE,Cardiomyocyte,F1_Aged,11
Slc10a6,1e-6,0.647570232067132,-18.304679370707383,TRUE,Cardiomyocyte,F1_Aged,5
Slc36a2,1e-6,0.332002045494902,-17.34083695004588,TRUE,Cardiomyocyte,F1_Aged,11
Slc8a1,0.075438646171336,0.0776765574863793,-0.042174927517330284,TRUE,Cardiomyocyte,F1_Aged,17
Smco2,1e-6,1.18670831358888,-19.178535157039885,TRUE,Cardiomyocyte,F1_Aged,6
Sntb1,1e-6,0.746029710357971,-18.50887549468839,TRUE,Cardiomyocyte,F1_Aged,15
Snurf,1e-6,1.9719187221586,-19.911169389396427,TRUE,Cardiomyocyte,F1_Aged,7
Sorbs1,0.0515126688188804,0.0663664128043844,-0.3655197419679584,TRUE,Cardiomyocyte,F1_Aged,19
Sparc,1e-6,0.443117669229046,-17.75733358536532,TRUE,Cardiomyocyte,F1_Aged,11
Spata31f1e,1e-6,3.46860714481732,-20.725925435183218,TRUE,Cardiomyocyte,F1_Aged,Unknown
Stard9,1e-6,1.27626014309262,-19.2834921267166,TRUE,Cardiomyocyte,F1_Aged,2
Sycp2,1e-6,1.57047216393448,-19.582767859917087,TRUE,Cardiomyocyte,F1_Aged,2
Syndig1,1e-6,4.19108233830459,-20.99889177859117,TRUE,Cardiomyocyte,F1_Aged,2
Them7,1e-6,0.527732296216148,-18.009449484631688,TRUE,Cardiomyocyte,F1_Aged,2
Thsd4,1e-6,1.64043975316867,-19.64565205915536,TRUE,Cardiomyocyte,F1_Aged,9
Timp3,1e-6,0.42830094202321,-17.70826869320418,TRUE,Cardiomyocyte,F1_Aged,10
Tmem144,1e-6,0.574934461655065,-18.1330404924488,TRUE,Cardiomyocyte,F1_Aged,3
Tmem243,1e-6,0.684120586576082,-18.383893227562183,TRUE,Cardiomyocyte,F1_Aged,5
Tmprss13,1e-6,0.734667448807749,-18.48673379217132,TRUE,Cardiomyocyte,F1_Aged,9
Tmx1,1e-6,0.569060588961624,-18.118225276847475,TRUE,Cardiomyocyte,F1_Aged,12
Trafd1,1e-6,0.415229419242561,-17.66355261197376,TRUE,Cardiomyocyte,F1_Aged,5
Trim7,1e-6,0.304498495188707,-17.216080310813567,TRUE,Cardiomyocyte,F1_Aged,11
Tsnax,1e-6,0.270414873667808,-17.044820316107437,TRUE,Cardiomyocyte,F1_Aged,8
Ttn,0.0397679510341271,0.0416822347854934,-0.06782473146357364,TRUE,Cardiomyocyte,F1_Aged,2
Unc13c,1e-6,2.70690858176835,-20.368215267696034,TRUE,Cardiomyocyte,F1_Aged,9
Zbtb20,1e-6,0.352779971635298,-17.42841322108129,TRUE,Cardiomyocyte,F1_Aged,16
Zfp141,1e-6,0.806768047228368,-18.621796208528046,TRUE,Cardiomyocyte,F1_Aged,7
Zfp217,1e-6,0.322299649678054,-17.298047570952054,TRUE,Cardiomyocyte,F1_Aged,2
Zfp697,1e-6,0.476530371537451,-17.862211668785427,TRUE,Cardiomyocyte,F1_Aged,3
Zfp968-ps,1e-6,0.204921233443335,-16.64471699533209,TRUE,Cardiomyocyte,F1_Aged,2
1110002L01Rik,1e-6,0.357246628368138,-17.446564908283072,TRUE,Cardiomyocyte,F1_Young,12
1700017G19Rik,1e-6,0.334549778251161,-17.351865674754446,TRUE,Cardiomyocyte,F1_Young,3
1700087I21Rik,1e-6,0.431129047105573,-17.717763587404612,TRUE,Cardiomyocyte,F1_Young,14
1700123O12Rik,1e-6,0.422289513650192,-17.68787631318497,TRUE,Cardiomyocyte,F1_Young,4
1810037I17Rik,1e-6,0.360821597350338,-17.460930167975754,TRUE,Cardiomyocyte,F1_Young,3
2010001K21Rik,1e-6,0.740825160898348,-18.498775520027277,TRUE,Cardiomyocyte,F1_Young,13
2610035D17Rik,1e-6,0.254367813090526,-16.956562274156077,TRUE,Cardiomyocyte,F1_Young,11
4833420G17Rik,1e-6,0.590979583497627,-18.17275120627474,TRUE,Cardiomyocyte,F1_Young,13
4921504A21Rik,1e-6,6.19913045327457,-21.56363466614137,TRUE,Cardiomyocyte,F1_Young,5
4930412C18Rik,1e-6,0.427443818441542,-17.705378659817324,TRUE,Cardiomyocyte,F1_Young,4
4930447C04Rik,1e-6,1.79097184687245,-19.772312033962724,TRUE,Cardiomyocyte,F1_Young,12
4930481A15Rik,1e-6,0.497339800602667,-17.923875265546492,TRUE,Cardiomyocyte,F1_Young,19
4930522O17Rik,1e-6,0.424171905807845,-17.694292945599873,TRUE,Cardiomyocyte,F1_Young,4
4930544I03Rik,1e-6,4.26157354292961,-21.02295513723495,TRUE,Cardiomyocyte,F1_Young,12
5830417I10Rik,1e-6,0.440812897939432,-17.749810184217523,TRUE,Cardiomyocyte,F1_Young,3
9330159M07Rik,1e-6,0.211815166118933,-16.69245317656016,TRUE,Cardiomyocyte,F1_Young,9
9430037G07Rik,1e-6,0.295408499846693,-17.172356695804716,TRUE,Cardiomyocyte,F1_Young,9
A230057D06Rik,1e-6,1.08378685097828,-19.047650949359586,TRUE,Cardiomyocyte,F1_Young,7
A730017L22Rik,1e-6,0.490758253677007,-17.904655945608773,TRUE,Cardiomyocyte,F1_Young,2
A930002C04Rik,1e-6,0.407750231419571,-17.63732970835797,TRUE,Cardiomyocyte,F1_Young,13
AI839979,1e-6,0.349033777723603,-17.413011267747525,TRUE,Cardiomyocyte,F1_Young,5
Aaas,1e-6,1.12560775938396,-19.102274029975213,TRUE,Cardiomyocyte,F1_Young,15
Acbd4,1e-6,0.412764936004483,-17.654964390001318,TRUE,Cardiomyocyte,F1_Young,11
Acsm5,1e-6,0.902455391634296,-18.783497694422252,TRUE,Cardiomyocyte,F1_Young,7
Actg1,1e-6,0.291407981377757,-17.152685817142846,TRUE,Cardiomyocyte,F1_Young,11
Airn,0.141935552079165,0.163704322548431,-0.20585506294431413,TRUE,Cardiomyocyte,F1_Young,17
Ankra2,1e-6,0.252006281775045,-16.943105895578544,TRUE,Cardiomyocyte,F1_Young,13
