"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"Nup98",NA,192,0.767163160564597,0.498771892983809,0.498771892983809,1.06068997019026,1.491192097836,0.644446598375216
"Nus1",NA,79,0.628224291838563,0.667859001935432,0.628224291838563,1.00769930795655,1.46814252333916,0.719730351153984
"Nxn",NA,41,0.0704514742147742,0.435931425191986,0.0704514742147742,1.1502315273865,1.42281127448191,0.285537705678845
"Oga",NA,131,0.582613716798912,0.495601363868937,0.495601363868937,1.0173768155159,1.42676798666401,0.642852120314093
"Ogdh",NA,126,0.810757088764083,0.621058767297773,0.621058767297773,1.13011970457196,1.43369276522424,0.715126790047266
"Opa1",NA,109,0.224632583849262,0.62642342023337,0.224632583849262,1.09088143137681,1.41733608046777,0.478906766740903
"Orai1",NA,89,0.517578359509495,0.592829995856565,0.517578359509495,1.12430967299316,1.43746202810909,0.652227365790293
"Orc4",NA,100,0.0926450631581393,0.199514897940154,0.0926450631581393,1.12089613853965,1.41603933341631,0.328922142636102
"Osbpl11",NA,110,0.741968679456846,0.773341455941527,0.741968679456846,1.02698707135354,1.41136289185085,0.79337660232292
"Osbpl8",NA,69,0.251945281269155,0.963906901471647,0.251945281269155,1.1425122094891,1.47803591978004,0.491741121939819
"Osbpl9",NA,267,0.192610622792938,0.139072941511934,0.139072941511934,1.19989021453953,1.54217802702855,0.400342877990688
"Osmr",NA,18,0.220672873997871,0.174842616310699,0.174842616310699,1.66751514941561,1.02860041863298,0.438177880337475
"Ostf1",NA,179,0.409951964340702,0.67821101844071,0.409951964340702,1.10561798686251,1.48308791189446,0.59173435110024
"Otulinl",NA,114,0.0444057609528664,0.634617589747023,0.0444057609528664,1.10285770617834,1.4108372404257,0.229339740219264
"Oxct1",NA,107,0.0360528074729203,0.306900311381346,0.0360528074729203,1.04961187276959,1.41486119500715,0.20850175255588
"Oxr1",NA,188,0.0428939601738392,0.985884551853165,0.0428939601738392,1.12130155005897,1.49032609596166,0.2281140008174
