"","bb_mu","AR","N","bb_theta","thetaCorrected","theta_common","log2FC","llr_var","pval_var","padj_var"
"Arhgap29",0.5231,0.53,65,0.1655,0.140873232512567,0.119170383790861,0.0978473233981446,-0.0784110003614558,0.69209943887005,1
"Arhgap32",0.6138,0.609375,32,1.0643,0.48150246499547,0.118120764869748,0.736965594166206,-0.384612179302543,0.380457110190567,1
"Arhgef12",0.585,0.585820895522388,67,0.3818,0.2227236187667,0.118729207063007,0.626185163447669,-0.180004917922538,0.548500772974941,1
"Arhgef3",0.6534,0.652,50,0.1468,0.12963879690964,0.112857655813324,0.874469117916141,-0.223158208300255,0.504089440045364,1
"Arid1b",0.4064,0.420745149911817,54,0.1715,0.14173700874866,0.117009658028787,-0.595609744920665,-1.40232037625934,0.0939918964632643,1
"Arid2",0.5434,0.53735632183908,29,1e-04,0.0815666062424616,0.124521396600986,0.251538766995965,0.329416043554644,1,1
"Arid4b",0.4418,0.486666666666667,25,0.1101,0.138104856233428,0.147074150420523,-0.415037499278844,-0.106850342530663,0.643882179059538,1
"Arih1",0.4766,0.488562091503268,51,1e-04,0.0721466969658442,0.110134055165833,-0.134301091711591,-0.0623469608472789,0.723998280864473,1
"Arl15",0.4785,0.500478524743231,68,0.0861,0.117807084825007,0.129992687556061,-0.219965683941908,-0.618920988876212,0.265887363015426,1
"Asap1",0.4536,0.462376933895921,79,0.0972,0.11120704125932,0.113474221016735,-0.288431182899275,-0.149225836756798,0.584854714412077,1
"Ascc3",0.5537,0.540540540540541,37,0.0018,0.0729224365299143,0.110332868060022,0.31194400631474,0.000557107681764535,1,1
"Ash1l",0.5495,0.546666666666667,50,0.8182,0.382437508357707,0.109553554431671,0.280107919192735,-3.54784807568418,0.00772692732947282,0.884619190793072
"Atad2b",0.5439,0.525,40,3e-04,0.0712068570926228,0.108582606399466,0.253756592245783,0.168493790871622,1,1
"Ate1",0.5937,0.585833333333333,40,0,0.0720722506592014,0.110078350840154,0.547487795302493,-0.0330014045343248,0.79724815913889,1
"Atp10d",0.615,0.546551724137931,29,1e-04,0.0727308377163872,0.111026232805495,0.678071905112638,0.122811070826838,1,1
